Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,(case) ApplicationType,(case) LoanGoal,(case) RequestedAmount,Accepted,Action,CreditScore,EventID,EventOrigin,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferID,OfferedAmount,Selected,lifecycle:transition
Application_387012864,A_Create Application,User_1,2016/01/01 17:00:01.353,2016/01/01 17:00:01.353,New credit,"Other, see explanation",5000,,Created,,Application_387012864,Application,,,,,,,complete
Application_387012864,A_Submitted,User_1,2016/01/01 17:00:01.386,2016/01/01 17:00:01.386,New credit,"Other, see explanation",5000,,statechange,,ApplState_587211695,Application,,,,,,,complete
Application_387012864,A_Concept,User_1,2016/01/01 17:01:36.547,2016/01/01 17:01:36.547,New credit,"Other, see explanation",5000,,statechange,,ApplState_1788519445,Application,,,,,,,complete
Application_1120819670,A_Create Application,User_1,2016/01/01 17:22:50.533,2016/01/01 17:22:50.533,New credit,Car,6850,,Created,,Application_1120819670,Application,,,,,,,complete
Application_1120819670,A_Submitted,User_1,2016/01/01 17:22:50.567,2016/01/01 17:22:50.567,New credit,Car,6850,,statechange,,ApplState_1884976310,Application,,,,,,,complete
Application_1120819670,A_Concept,User_1,2016/01/01 17:23:36.096,2016/01/01 17:23:36.096,New credit,Car,6850,,statechange,,ApplState_1970342959,Application,,,,,,,complete
Application_42838382,A_Create Application,User_1,2016/01/01 17:58:48.775,2016/01/01 17:58:48.775,New credit,Existing loan takeover,29500,,Created,,Application_42838382,Application,,,,,,,complete
Application_42838382,A_Submitted,User_1,2016/01/01 17:58:48.810,2016/01/01 17:58:48.810,New credit,Existing loan takeover,29500,,statechange,,ApplState_1364915147,Application,,,,,,,complete
Application_42838382,A_Concept,User_1,2016/01/01 17:59:29.704,2016/01/01 17:59:29.704,New credit,Existing loan takeover,29500,,statechange,,ApplState_1041069551,Application,,,,,,,complete
Application_180547487,A_Create Application,User_1,2016/01/01 18:04:16.739,2016/01/01 18:04:16.739,New credit,Home improvement,6000,,Created,,Application_180547487,Application,,,,,,,complete
Application_180547487,A_Submitted,User_1,2016/01/01 18:04:16.773,2016/01/01 18:04:16.773,New credit,Home improvement,6000,,statechange,,ApplState_649214987,Application,,,,,,,complete
Application_180547487,A_Concept,User_1,2016/01/01 18:05:29.642,2016/01/01 18:05:29.642,New credit,Home improvement,6000,,statechange,,ApplState_460002192,Application,,,,,,,complete
Application_1966208034,A_Create Application,User_1,2016/01/01 18:06:50.703,2016/01/01 18:06:50.703,New credit,Remaining debt home,40000,,Created,,Application_1966208034,Application,,,,,,,complete
Application_1966208034,A_Submitted,User_1,2016/01/01 18:06:50.748,2016/01/01 18:06:50.748,New credit,Remaining debt home,40000,,statechange,,ApplState_1855507567,Application,,,,,,,complete
Application_1966208034,A_Concept,User_1,2016/01/01 18:08:20.419,2016/01/01 18:08:20.419,New credit,Remaining debt home,40000,,statechange,,ApplState_594539727,Application,,,,,,,complete
Application_1806387393,A_Create Application,User_1,2016/01/01 18:58:26.178,2016/01/01 18:58:26.178,New credit,Car,5000,,Created,,Application_1806387393,Application,,,,,,,complete
Application_1806387393,A_Submitted,User_1,2016/01/01 18:58:26.216,2016/01/01 18:58:26.216,New credit,Car,5000,,statechange,,ApplState_219633904,Application,,,,,,,complete
Application_1111870538,A_Create Application,User_1,2016/01/01 20:13:17.386,2016/01/01 20:13:17.386,New credit,Not speficied,5000,,Created,,Application_1111870538,Application,,,,,,,complete
Application_1111870538,A_Submitted,User_1,2016/01/01 20:13:17.442,2016/01/01 20:13:17.442,New credit,Not speficied,5000,,statechange,,ApplState_1224473693,Application,,,,,,,complete
Application_1111870538,A_Concept,User_1,2016/01/01 20:13:53.224,2016/01/01 20:13:53.224,New credit,Not speficied,5000,,statechange,,ApplState_1667592697,Application,,,,,,,complete
Application_1017492916,A_Create Application,User_1,2016/01/01 20:18:43.997,2016/01/01 20:18:43.997,New credit,Car,15000,,Created,,Application_1017492916,Application,,,,,,,complete
Application_1017492916,A_Submitted,User_1,2016/01/01 20:18:44.039,2016/01/01 20:18:44.039,New credit,Car,15000,,statechange,,ApplState_1185546975,Application,,,,,,,complete
Application_1017492916,A_Concept,User_1,2016/01/01 20:19:56.905,2016/01/01 20:19:56.905,New credit,Car,15000,,statechange,,ApplState_1430393616,Application,,,,,,,complete
Application_2082119944,A_Create Application,User_1,2016/01/01 22:14:25.752,2016/01/01 22:14:25.752,New credit,Existing loan takeover,15000,,Created,,Application_2082119944,Application,,,,,,,complete
Application_2082119944,A_Submitted,User_1,2016/01/01 22:14:25.796,2016/01/01 22:14:25.796,New credit,Existing loan takeover,15000,,statechange,,ApplState_1866103021,Application,,,,,,,complete
Application_2082119944,A_Concept,User_1,2016/01/01 22:16:02.611,2016/01/01 22:16:02.611,New credit,Existing loan takeover,15000,,statechange,,ApplState_2055923239,Application,,,,,,,complete
Application_758985626,A_Create Application,User_1,2016/01/01 22:24:12.454,2016/01/01 22:24:12.454,New credit,Not speficied,17000,,Created,,Application_758985626,Application,,,,,,,complete
Application_758985626,A_Submitted,User_1,2016/01/01 22:24:12.495,2016/01/01 22:24:12.495,New credit,Not speficied,17000,,statechange,,ApplState_1032886526,Application,,,,,,,complete
Application_758985626,A_Concept,User_1,2016/01/01 22:25:01.399,2016/01/01 22:25:01.399,New credit,Not speficied,17000,,statechange,,ApplState_708360321,Application,,,,,,,complete
Application_1018615109,A_Create Application,User_1,2016/01/01 22:57:30.249,2016/01/01 22:57:30.249,New credit,Home improvement,17000,,Created,,Application_1018615109,Application,,,,,,,complete
Application_1018615109,A_Submitted,User_1,2016/01/01 22:57:30.292,2016/01/01 22:57:30.292,New credit,Home improvement,17000,,statechange,,ApplState_1658343773,Application,,,,,,,complete
Application_1018615109,A_Concept,User_1,2016/01/01 22:58:53.572,2016/01/01 22:58:53.572,New credit,Home improvement,17000,,statechange,,ApplState_1435115281,Application,,,,,,,complete
Application_319587802,A_Create Application,User_1,2016/01/02 02:08:49.567,2016/01/02 02:08:49.567,New credit,Car,7000,,Created,,Application_319587802,Application,,,,,,,complete
Application_319587802,A_Submitted,User_1,2016/01/02 02:08:49.631,2016/01/02 02:08:49.631,New credit,Car,7000,,statechange,,ApplState_2095516654,Application,,,,,,,complete
Application_1846626914,A_Create Application,User_1,2016/01/02 09:57:01.662,2016/01/02 09:57:01.662,New credit,Car,5000,,Created,,Application_1846626914,Application,,,,,,,complete
Application_1846626914,A_Submitted,User_1,2016/01/02 09:57:01.734,2016/01/02 09:57:01.734,New credit,Car,5000,,statechange,,ApplState_1455015421,Application,,,,,,,complete
Application_546206358,A_Create Application,User_1,2016/01/02 09:57:03.601,2016/01/02 09:57:03.601,New credit,Home improvement,10000,,Created,,Application_546206358,Application,,,,,,,complete
Application_546206358,A_Submitted,User_1,2016/01/02 09:57:03.637,2016/01/02 09:57:03.637,New credit,Home improvement,10000,,statechange,,ApplState_254307635,Application,,,,,,,complete
Application_1846626914,A_Concept,User_1,2016/01/02 09:58:40.809,2016/01/02 09:58:40.809,New credit,Car,5000,,statechange,,ApplState_570676058,Application,,,,,,,complete
Application_546206358,A_Concept,User_1,2016/01/02 09:59:10.800,2016/01/02 09:59:10.800,New credit,Home improvement,10000,,statechange,,ApplState_1801804895,Application,,,,,,,complete
Application_1746793196,W_Handle leads,User_17,2016/01/02 10:05:02.658,2016/01/02 10:06:04.201,New credit,Car,5000,,Deleted,,Workitem_548358991,Workflow,,,,,,,complete
Application_1746793196,W_Complete application,User_19,2016/01/02 10:06:04.209,2016/01/04 18:23:02.547,New credit,Car,5000,,Deleted,,Workitem_1167420013,Workflow,,,,,,,complete
Application_1746793196,A_Concept,User_17,2016/01/02 10:06:04.213,2016/01/02 10:06:04.213,New credit,Car,5000,,statechange,,ApplState_694592100,Application,,,,,,,complete
Application_196483749,A_Create Application,User_17,2016/01/02 10:12:07.481,2016/01/02 10:12:07.481,New credit,Car,10000,,Created,,Application_196483749,Application,,,,,,,complete
Application_196483749,W_Complete application,User_17,2016/01/02 10:12:07.501,2016/01/02 10:19:21.360,New credit,Car,10000,,Deleted,,Workitem_1118320187,Workflow,,,,,,,complete
Application_196483749,A_Concept,User_17,2016/01/02 10:12:07.505,2016/01/02 10:12:07.505,New credit,Car,10000,,statechange,,ApplState_369764295,Application,,,,,,,complete
Application_196483749,A_Accepted,User_17,2016/01/02 10:15:31.903,2016/01/02 10:15:31.903,New credit,Car,10000,,statechange,,ApplState_559296954,Application,,,,,,,complete
Application_196483749,O_Create Offer,User_17,2016/01/02 10:17:05.720,2016/01/02 10:17:05.720,New credit,Car,10000,true,Created,0,Offer_247135719,Offer,10000,201.76,57,,10000,false,complete
Application_196483749,O_Created,User_17,2016/01/02 10:17:08.762,2016/01/02 10:17:08.762,New credit,Car,10000,,statechange,,OfferState_124849367,Offer,,,,Offer_247135719,,,complete
Application_196483749,O_Sent (online only),User_17,2016/01/02 10:19:21.330,2016/01/02 10:19:21.330,New credit,Car,10000,,statechange,,OfferState_440662877,Offer,,,,Offer_247135719,,,complete
Application_196483749,W_Call after offers,User_17,2016/01/02 10:19:21.378,2016/01/02 10:19:21.378,New credit,Car,10000,,Obtained,,Workitem_4388575,Workflow,,,,,,,start
Application_196483749,A_Complete,User_17,2016/01/02 10:19:21.383,2016/01/02 10:19:21.383,New credit,Car,10000,,statechange,,ApplState_392574086,Application,,,,,,,complete
Application_196483749,O_Cancelled,User_17,2016/01/02 10:21:26.034,2016/01/02 10:21:26.034,New credit,Car,10000,,statechange,,OfferState_591416028,Offer,,,,Offer_247135719,,,complete
Application_196483749,O_Create Offer,User_17,2016/01/02 10:21:42.022,2016/01/02 10:21:42.022,New credit,Car,10000,true,Created,0,Offer_941964966,Offer,4100,201.76,57,,10000,false,complete
Application_196483749,O_Created,User_17,2016/01/02 10:21:43.573,2016/01/02 10:21:43.573,New credit,Car,10000,,statechange,,OfferState_275382868,Offer,,,,Offer_941964966,,,complete
Application_196483749,O_Sent (mail and online),User_17,2016/01/02 10:22:09.421,2016/01/02 10:22:09.421,New credit,Car,10000,,statechange,,OfferState_563158836,Offer,,,,Offer_941964966,,,complete
Application_1363980603,A_Create Application,User_1,2016/01/02 10:24:04.072,2016/01/02 10:24:04.072,New credit,Car,7500,,Created,,Application_1363980603,Application,,,,,,,complete
Application_1363980603,A_Submitted,User_1,2016/01/02 10:24:04.134,2016/01/02 10:24:04.134,New credit,Car,7500,,statechange,,ApplState_1778969638,Application,,,,,,,complete
Application_1363980603,A_Concept,User_1,2016/01/02 10:24:52.081,2016/01/02 10:24:52.081,New credit,Car,7500,,statechange,,ApplState_1661140037,Application,,,,,,,complete
Application_196483749,O_Create Offer,User_17,2016/01/02 10:26:43.598,2016/01/02 10:26:43.598,New credit,Car,10000,true,Created,0,Offer_1148420274,Offer,0,120,58,,6000,false,complete
Application_196483749,O_Created,User_17,2016/01/02 10:26:44.925,2016/01/02 10:26:44.925,New credit,Car,10000,,statechange,,OfferState_1323744692,Offer,,,,Offer_1148420274,,,complete
Application_196483749,O_Sent (mail and online),User_17,2016/01/02 10:26:57.389,2016/01/02 10:26:57.389,New credit,Car,10000,,statechange,,OfferState_1151067844,Offer,,,,Offer_1148420274,,,complete
Application_1553362978,A_Create Application,User_1,2016/01/02 10:27:03.845,2016/01/02 10:27:03.845,New credit,Car,12000,,Created,,Application_1553362978,Application,,,,,,,complete
Application_1553362978,A_Submitted,User_1,2016/01/02 10:27:03.912,2016/01/02 10:27:03.912,New credit,Car,12000,,statechange,,ApplState_1876140883,Application,,,,,,,complete
Application_1553362978,A_Concept,User_1,2016/01/02 10:27:42.760,2016/01/02 10:27:42.760,New credit,Car,12000,,statechange,,ApplState_1652270022,Application,,,,,,,complete
Application_1197857445,A_Create Application,User_1,2016/01/02 10:33:11.203,2016/01/02 10:33:11.203,New credit,Home improvement,6000,,Created,,Application_1197857445,Application,,,,,,,complete
Application_1197857445,A_Submitted,User_1,2016/01/02 10:33:11.257,2016/01/02 10:33:11.257,New credit,Home improvement,6000,,statechange,,ApplState_1462316123,Application,,,,,,,complete
Application_1806387393,W_Handle leads,User_17,2016/01/02 10:38:15.267,2016/01/02 10:39:26.329,New credit,Car,5000,,Deleted,,Workitem_2140174115,Workflow,,,,,,,complete
Application_1806387393,W_Complete application,User_38,2016/01/02 10:39:26.338,2016/01/04 09:34:37.532,New credit,Car,5000,,Deleted,,Workitem_1540790634,Workflow,,,,,,,complete
Application_1806387393,A_Concept,User_17,2016/01/02 10:39:26.342,2016/01/02 10:39:26.342,New credit,Car,5000,,statechange,,ApplState_125606026,Application,,,,,,,complete
Application_319587802,W_Handle leads,User_17,2016/01/02 10:42:05.818,2016/01/02 10:43:10.023,New credit,Car,7000,,Deleted,,Workitem_486772058,Workflow,,,,,,,complete
Application_319587802,W_Complete application,User_108,2016/01/02 10:43:10.038,2016/01/06 18:48:10.313,New credit,Car,7000,,Deleted,,Workitem_1993344468,Workflow,,,,,,,complete
Application_319587802,A_Concept,User_17,2016/01/02 10:43:10.041,2016/01/02 10:43:10.041,New credit,Car,7000,,statechange,,ApplState_578663800,Application,,,,,,,complete
Application_1197857445,W_Handle leads,User_17,2016/01/02 10:46:06.071,2016/01/02 10:46:40.252,New credit,Home improvement,6000,,Deleted,,Workitem_511074407,Workflow,,,,,,,complete
Application_1197857445,W_Complete application,User_17,2016/01/02 10:46:40.274,2016/01/02 10:46:40.274,New credit,Home improvement,6000,,Obtained,,Workitem_64050694,Workflow,,,,,,,start
Application_1197857445,A_Concept,User_17,2016/01/02 10:46:40.277,2016/01/02 10:46:40.277,New credit,Home improvement,6000,,statechange,,ApplState_2020411868,Application,,,,,,,complete
Application_1120819670,A_Accepted,User_17,2016/01/02 10:52:01.847,2016/01/02 10:52:01.847,New credit,Car,6850,,statechange,,ApplState_585252285,Application,,,,,,,complete
Application_1120819670,O_Create Offer,User_17,2016/01/02 10:55:46.369,2016/01/02 10:55:46.369,New credit,Car,6850,true,Created,1021,Offer_1365106765,Offer,6900,150.73,53,,6900,true,complete
Application_1120819670,O_Created,User_17,2016/01/02 10:55:47.693,2016/01/02 10:55:47.693,New credit,Car,6850,,statechange,,OfferState_1700055433,Offer,,,,Offer_1365106765,,,complete
Application_1120819670,O_Sent (mail and online),User_17,2016/01/02 10:59:50.268,2016/01/02 10:59:50.268,New credit,Car,6850,,statechange,,OfferState_16123997,Offer,,,,Offer_1365106765,,,complete
Application_1120819670,W_Call after offers,User_17,2016/01/02 10:59:50.303,2016/01/02 10:59:50.303,New credit,Car,6850,,Obtained,,Workitem_1736161340,Workflow,,,,,,,start
Application_1120819670,A_Complete,User_17,2016/01/02 10:59:50.307,2016/01/02 10:59:50.307,New credit,Car,6850,,statechange,,ApplState_1586359212,Application,,,,,,,complete
Application_931862671,A_Create Application,User_1,2016/01/02 11:15:48.153,2016/01/02 11:15:48.153,New credit,Car,6000,,Created,,Application_931862671,Application,,,,,,,complete
Application_931862671,A_Submitted,User_1,2016/01/02 11:15:48.188,2016/01/02 11:15:48.188,New credit,Car,6000,,statechange,,ApplState_943106344,Application,,,,,,,complete
Application_931862671,A_Concept,User_1,2016/01/02 11:16:53.990,2016/01/02 11:16:53.990,New credit,Car,6000,,statechange,,ApplState_258522220,Application,,,,,,,complete
Application_2012588584,A_Create Application,User_17,2016/01/02 11:26:22.572,2016/01/02 11:26:22.572,New credit,Unknown,0,,Created,,Application_2012588584,Application,,,,,,,complete
Application_2012588584,W_Complete application,User_17,2016/01/02 11:26:22.583,2016/01/02 11:37:43.739,New credit,Unknown,0,,Deleted,,Workitem_95171119,Workflow,,,,,,,complete
Application_2012588584,A_Concept,User_17,2016/01/02 11:26:22.585,2016/01/02 11:26:22.585,New credit,Unknown,0,,statechange,,ApplState_1620766775,Application,,,,,,,complete
Application_2012588584,A_Accepted,User_17,2016/01/02 11:32:05.733,2016/01/02 11:32:05.733,New credit,Unknown,0,,statechange,,ApplState_1109155230,Application,,,,,,,complete
Application_2012588584,O_Create Offer,User_17,2016/01/02 11:35:08.906,2016/01/02 11:35:08.906,New credit,Unknown,0,true,Created,0,Offer_1207095934,Offer,0,400,78,,27000,false,complete
Application_2012588584,O_Created,User_17,2016/01/02 11:35:10.063,2016/01/02 11:35:10.063,New credit,Unknown,0,,statechange,,OfferState_690849423,Offer,,,,Offer_1207095934,,,complete
Application_2012588584,O_Create Offer,User_17,2016/01/02 11:35:27.467,2016/01/02 11:35:27.467,New credit,Unknown,0,true,Created,809,Offer_1015515944,Offer,27000,402.36,78,,27000,true,complete
Application_2012588584,O_Created,User_17,2016/01/02 11:35:28.752,2016/01/02 11:35:28.752,New credit,Unknown,0,,statechange,,OfferState_880633476,Offer,,,,Offer_1015515944,,,complete
Application_2012588584,O_Sent (mail and online),User_17,2016/01/02 11:37:43.721,2016/01/02 11:37:43.721,New credit,Unknown,0,,statechange,,OfferState_568928144,Offer,,,,Offer_1015515944,,,complete
Application_2012588584,O_Sent (mail and online),User_17,2016/01/02 11:37:43.723,2016/01/02 11:37:43.723,New credit,Unknown,0,,statechange,,OfferState_1929766603,Offer,,,,Offer_1207095934,,,complete
Application_2012588584,W_Call after offers,User_17,2016/01/02 11:37:43.749,2016/01/02 11:37:43.749,New credit,Unknown,0,,Obtained,,Workitem_486270282,Workflow,,,,,,,start
Application_2012588584,A_Complete,User_17,2016/01/02 11:37:43.751,2016/01/02 11:37:43.751,New credit,Unknown,0,,statechange,,ApplState_1065378749,Application,,,,,,,complete
Application_652823628,W_Complete application,User_17,2016/01/02 11:45:22.429,2016/01/02 11:45:22.429,New credit,Existing loan takeover,20000,,Obtained,,Workitem_1875340971,Workflow,,,,,,,start
Application_1691306052,W_Complete application,User_38,2016/01/02 11:50:42.796,2016/01/02 12:03:05.324,New credit,Home improvement,10000,,Deleted,,Workitem_28216352,Workflow,,,,,,,complete
Application_428409768,W_Complete application,User_19,2016/01/02 11:55:03.169,2016/01/02 12:06:53.291,New credit,Home improvement,15000,,Deleted,,Workitem_2003414398,Workflow,,,,,,,complete
Application_1691306052,A_Accepted,User_38,2016/01/02 11:59:44.735,2016/01/02 11:59:44.735,New credit,Home improvement,10000,,statechange,,ApplState_525970231,Application,,,,,,,complete
Application_1691306052,O_Create Offer,User_38,2016/01/02 12:02:38.994,2016/01/02 12:02:38.994,New credit,Home improvement,10000,false,Created,0,Offer_1669071500,Offer,500,200,33,,6000,false,complete
Application_1691306052,O_Created,User_38,2016/01/02 12:02:40.442,2016/01/02 12:02:40.442,New credit,Home improvement,10000,,statechange,,OfferState_680973097,Offer,,,,Offer_1669071500,,,complete
Application_428409768,A_Accepted,User_19,2016/01/02 12:02:44.472,2016/01/02 12:02:44.472,New credit,Home improvement,15000,,statechange,,ApplState_504362841,Application,,,,,,,complete
Application_1691306052,O_Sent (mail and online),User_38,2016/01/02 12:03:05.300,2016/01/02 12:03:05.300,New credit,Home improvement,10000,,statechange,,OfferState_618588716,Offer,,,,Offer_1669071500,,,complete
Application_1691306052,W_Call after offers,User_38,2016/01/02 12:03:05.343,2016/01/02 12:03:05.343,New credit,Home improvement,10000,,Obtained,,Workitem_107760987,Workflow,,,,,,,start
Application_1691306052,A_Complete,User_38,2016/01/02 12:03:05.346,2016/01/02 12:03:05.346,New credit,Home improvement,10000,,statechange,,ApplState_173433077,Application,,,,,,,complete
Application_428409768,O_Create Offer,User_19,2016/01/02 12:05:15.942,2016/01/02 12:05:15.942,New credit,Home improvement,15000,true,Created,0,Offer_1209840642,Offer,15000,158.98,120,,15000,false,complete
Application_428409768,O_Created,User_19,2016/01/02 12:05:17.204,2016/01/02 12:05:17.204,New credit,Home improvement,15000,,statechange,,OfferState_942949889,Offer,,,,Offer_1209840642,,,complete
Application_1825972191,A_Create Application,User_1,2016/01/02 12:06:39.120,2016/01/02 12:06:39.120,New credit,Car,15000,,Created,,Application_1825972191,Application,,,,,,,complete
Application_1825972191,A_Submitted,User_1,2016/01/02 12:06:39.156,2016/01/02 12:06:39.156,New credit,Car,15000,,statechange,,ApplState_539772237,Application,,,,,,,complete
Application_428409768,O_Sent (mail and online),User_19,2016/01/02 12:06:53.268,2016/01/02 12:06:53.268,New credit,Home improvement,15000,,statechange,,OfferState_253970058,Offer,,,,Offer_1209840642,,,complete
Application_428409768,W_Call after offers,User_19,2016/01/02 12:06:53.312,2016/01/02 12:06:53.312,New credit,Home improvement,15000,,Obtained,,Workitem_1340137029,Workflow,,,,,,,start
Application_428409768,A_Complete,User_19,2016/01/02 12:06:53.316,2016/01/02 12:06:53.316,New credit,Home improvement,15000,,statechange,,ApplState_864110001,Application,,,,,,,complete
Application_1825972191,A_Concept,User_1,2016/01/02 12:07:48.443,2016/01/02 12:07:48.443,New credit,Car,15000,,statechange,,ApplState_2081400386,Application,,,,,,,complete
Application_1059184025,A_Create Application,User_38,2016/01/02 12:10:04.322,2016/01/02 12:10:04.322,New credit,Caravan / Camper,6600,,Created,,Application_1059184025,Application,,,,,,,complete
Application_1059184025,W_Complete application,User_38,2016/01/02 12:10:04.334,2016/01/02 12:10:04.334,New credit,Caravan / Camper,6600,,Obtained,,Workitem_1796551111,Workflow,,,,,,,start
Application_1059184025,A_Concept,User_38,2016/01/02 12:10:04.337,2016/01/02 12:10:04.337,New credit,Caravan / Camper,6600,,statechange,,ApplState_1327195263,Application,,,,,,,complete
Application_1085880569,W_Complete application,User_17,2016/01/02 12:22:55.931,2016/01/02 12:45:11.179,New credit,Existing loan takeover,13000,,Deleted,,Workitem_1190824769,Workflow,,,,,,,complete
Application_652823628,A_Accepted,User_52,2016/01/02 12:23:04.299,2016/01/02 12:23:04.299,New credit,Existing loan takeover,20000,,statechange,,ApplState_99568828,Application,,,,,,,complete
Application_1395142997,A_Create Application,User_1,2016/01/02 12:23:37.115,2016/01/02 12:23:37.115,New credit,Car,20000,,Created,,Application_1395142997,Application,,,,,,,complete
