Case ID,Activity,Resource,Complete Timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1-504538555,Accepted\\In Progress,Ilona,2011/02/28 14:13:33.000,Accepted,Medium,In Progress,D2,A2_1,nl,Org line C,PROD706,Belgium
1-504538555,Accepted\\In Progress,Ilona,2011/02/28 14:13:40.000,Accepted,Medium,In Progress,D2,A2_1,nl,Org line C,PROD706,Belgium
1-504538555,Queued\\Awaiting Assignment,Ilona,2011/02/28 14:17:09.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD706,Belgium
1-504538555,Accepted\\In Progress,Luc,2011/03/01 15:59:36.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD706,Netherlands
1-504538555,Queued\\Awaiting Assignment,Luc,2011/03/01 16:00:16.000,Queued,Medium,Awaiting Assignment,D2,A2_1,nl,Org line C,PROD706,Netherlands
1-504538555,Accepted\\In Progress,Evy,2011/03/01 18:34:25.000,Accepted,Medium,In Progress,D2,A2_1,nl,Org line C,PROD706,Belgium
1-504538555,Accepted\\Assigned,Evy,2011/03/01 18:46:00.000,Accepted,Medium,Assigned,D2,A2_1,nl,Org line C,PROD706,Belgium
1-504538555,Accepted\\In Progress,Ilona,2011/03/02 07:42:49.000,Accepted,Medium,In Progress,D2,A2_1,nl,Org line C,PROD706,Belgium
1-504538555,Queued\\Awaiting Assignment,Ilona,2011/03/02 07:44:11.000,Queued,Medium,Awaiting Assignment,V32 2nd,,nl,Org line V7n,PROD706,Belgium
1-506071646,Accepted\\In Progress,Olga,2011/03/07 10:42:08.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/07 10:44:43.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/07 10:51:59.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/07 10:52:51.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-506071646,Accepted\\In Progress,Luc,2011/03/07 11:48:31.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-506071646,Queued\\Awaiting Assignment,Luc,2011/03/07 11:55:20.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-506071646,Accepted\\In Progress,Olga,2011/03/07 12:03:37.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\Wait - User,Olga,2011/03/07 12:04:35.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/07 13:22:56.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/07 13:24:38.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-506071646,Accepted\\In Progress,Luc,2011/03/07 14:13:15.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-506071646,Queued\\Awaiting Assignment,Luc,2011/03/07 14:13:58.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-506071646,Accepted\\In Progress,Olga,2011/03/08 06:53:06.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/08 06:55:54.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-506071646,Accepted\\In Progress,Luc,2011/03/08 09:16:24.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-506071646,Queued\\Awaiting Assignment,Luc,2011/03/08 09:18:18.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-506071646,Accepted\\In Progress,Olga,2011/03/08 09:20:32.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\Wait - User,Olga,2011/03/08 09:22:46.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/09 07:16:14.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/09 07:17:16.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-467153946,Accepted\\In Progress,Åse,2011/03/09 11:08:06.000,Accepted,Medium,In Progress,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Wait - Implementation,Åse,2011/03/09 11:27:05.000,Accepted,Medium,Wait - Implementation,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-506071646,Accepted\\In Progress,Luc,2011/03/09 17:03:41.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-506071646,Queued\\Awaiting Assignment,Luc,2011/03/09 17:05:12.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-467153946,Accepted\\In Progress,Joseph,2011/03/10 11:53:10.000,Accepted,Medium,In Progress,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Assigned,Joseph,2011/03/10 11:53:22.000,Accepted,Medium,Assigned,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\In Progress,Björn T,2011/03/10 12:17:22.000,Accepted,Medium,In Progress,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Wait - User,Björn T,2011/03/10 12:21:51.000,Accepted,Medium,Wait - User,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-506071646,Accepted\\In Progress,Olga,2011/03/10 12:29:05.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\Wait - User,Olga,2011/03/10 12:47:33.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-467153946,Accepted\\Wait,Björn T,2011/03/10 14:45:27.000,Accepted,Medium,Wait,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Assigned,Björn T,2011/03/14 07:56:20.000,Accepted,Medium,Assigned,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\In Progress,Åse,2011/03/14 07:58:01.000,Accepted,Medium,In Progress,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Wait,Åse,2011/03/14 07:58:55.000,Accepted,Medium,Wait,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-506071646,Accepted\\In Progress,Olga,2011/03/14 10:19:53.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\Assigned,Olga,2011/03/14 10:28:30.000,Accepted,Medium,Assigned,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/14 10:28:35.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/14 10:29:13.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/14 10:30:27.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/14 10:37:19.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-506071646,Accepted\\In Progress,Luc,2011/03/15 10:41:17.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-506071646,Queued\\Awaiting Assignment,Luc,2011/03/15 10:53:36.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-506071646,Accepted\\In Progress,Olga,2011/03/15 11:00:18.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/15 11:12:52.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-506071646,Accepted\\In Progress,Luc,2011/03/15 11:21:49.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-506071646,Queued\\Awaiting Assignment,Luc,2011/03/15 11:23:58.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-506071646,Accepted\\In Progress,Olga,2011/03/15 11:27:28.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\Wait - User,Olga,2011/03/15 11:33:30.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/15 12:38:16.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\Wait - User,Olga,2011/03/15 14:39:01.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/23 10:13:28.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/23 10:13:29.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\Wait - User,Olga,2011/03/23 10:17:21.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/03/24 10:12:18.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/24 10:13:25.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-506071646,Accepted\\In Progress,Luc,2011/03/24 13:20:10.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-506071646,Queued\\Awaiting Assignment,Luc,2011/03/24 13:20:46.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-506071646,Accepted\\In Progress,Olga,2011/03/24 17:50:30.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/03/24 17:54:55.000,Queued,Medium,Awaiting Assignment,V32 2nd,,nl,Org line V7n,PROD542,POLAND
1-512795200,Accepted\\In Progress,Marcus,2011/04/04 16:51:24.000,Accepted,Medium,In Progress,S42,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\In Progress,Marcus,2011/04/04 16:52:15.000,Accepted,Medium,In Progress,S42,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Queued\\Awaiting Assignment,Marcus,2011/04/04 16:58:11.000,Queued,Medium,Awaiting Assignment,S43,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\In Progress,Sandra,2011/04/04 17:11:27.000,Accepted,Medium,In Progress,S43,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\Assigned,Sandra,2011/04/04 17:11:37.000,Accepted,Medium,Assigned,S43,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\In Progress,Daniel,2011/04/04 17:18:04.000,Accepted,Medium,In Progress,S43,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\Wait - User,Daniel,2011/04/04 17:24:46.000,Accepted,Medium,Wait - User,S43,V3_2,se,Org line C,PROD660,Sweden
1-467153946,Accepted\\In Progress,Suliman,2011/04/05 17:59:52.000,Accepted,Medium,In Progress,G140 2nd,E_10,se,Org line C,PROD453,Sweden
1-467153946,Queued\\Awaiting Assignment,Suliman,2011/04/05 18:02:01.000,Queued,Medium,Awaiting Assignment,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\In Progress,Denny,2011/04/06 10:32:07.000,Accepted,Medium,In Progress,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Assigned,Denny,2011/04/06 11:47:50.000,Accepted,Medium,Assigned,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\In Progress,Jon,2011/04/06 11:48:33.000,Accepted,Medium,In Progress,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Wait - User,Jon,2011/04/06 12:08:47.000,Accepted,Medium,Wait - User,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\In Progress,Jon,2011/04/07 13:36:47.000,Accepted,Medium,In Progress,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Wait,Jon,2011/04/07 14:06:06.000,Accepted,Medium,Wait,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-512795200,Completed\\Resolved,Daniel,2011/04/08 11:42:53.000,Completed,Medium,Resolved,S43,V3_2,se,Org line C,PROD660,Sweden
1-467153946,Accepted\\In Progress,Jon,2011/04/08 14:10:59.000,Accepted,Medium,In Progress,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Wait,Jon,2011/04/08 14:17:44.000,Accepted,Medium,Wait,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Queued\\Awaiting Assignment,Jon,2011/04/08 14:20:00.000,Queued,Medium,Awaiting Assignment,G137 2nd,E_10,se,Org line C,PROD453,Sweden
1-512795200,Accepted\\Assigned,Simon,2011/04/11 18:53:52.000,Accepted,Medium,Assigned,S42,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\In Progress,Simon,2011/04/11 18:56:47.000,Accepted,Medium,In Progress,S42,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Queued\\Awaiting Assignment,Simon,2011/04/11 18:57:06.000,Queued,Medium,Awaiting Assignment,S43,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\In Progress,Marie,2011/04/12 08:21:26.000,Accepted,Medium,In Progress,S43,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\Assigned,Marie,2011/04/12 08:22:36.000,Accepted,Medium,Assigned,S43,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\In Progress,Daniel,2011/04/12 09:12:13.000,Accepted,Medium,In Progress,S43,V3_2,se,Org line C,PROD660,Sweden
1-512795200,Accepted\\Wait - User,Daniel,2011/04/12 09:12:19.000,Accepted,Medium,Wait - User,S43,V3_2,se,Org line C,PROD660,Sweden
1-467153946,Accepted\\In Progress,Gustav,2011/04/12 15:16:47.000,Accepted,Medium,In Progress,G137 2nd,E_10,se,Org line C,PROD453,Sweden
1-516553982,Accepted\\In Progress,Olga,2011/04/13 16:04:32.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-516553982,Accepted\\In Progress,Olga,2011/04/13 16:05:38.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-516553982,Queued\\Awaiting Assignment,Olga,2011/04/13 16:12:39.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-516553982,Accepted\\In Progress,Luc,2011/04/19 14:23:12.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-516553982,Queued\\Awaiting Assignment,Luc,2011/04/19 14:27:05.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-516553982,Accepted\\In Progress,Olga,2011/04/19 14:57:53.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-516553982,Accepted\\Wait - User,Olga,2011/04/19 15:01:16.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-516553982,Accepted\\In Progress,Olga,2011/04/22 11:29:18.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-516553982,Accepted\\Wait - User,Olga,2011/04/22 11:30:27.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-516553982,Accepted\\In Progress,Olga,2011/04/27 18:38:48.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-516553982,Queued\\Awaiting Assignment,Olga,2011/04/27 18:42:38.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-516553982,Accepted\\In Progress,Luc,2011/04/28 11:06:05.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-516553982,Queued\\Awaiting Assignment,Luc,2011/04/28 11:07:04.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-516553982,Accepted\\In Progress,Olga,2011/04/28 12:02:04.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-516553982,Queued\\Awaiting Assignment,Olga,2011/04/28 12:08:04.000,Queued,Medium,Awaiting Assignment,V32 2nd,,nl,Org line V7n,PROD542,POLAND
1-522528740,Accepted\\In Progress,Henk,2011/05/03 09:42:21.000,Accepted,Low,In Progress,D5,A2_1,nl,Org line C,PROD542,Belgium
1-522528740,Accepted\\In Progress,Henk,2011/05/03 09:42:31.000,Accepted,Low,In Progress,D5,A2_1,nl,Org line C,PROD542,Belgium
1-522528740,Queued\\Awaiting Assignment,Henk,2011/05/03 09:46:47.000,Queued,Low,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,Belgium
1-522528740,Accepted\\In Progress,Luc,2011/05/03 10:44:47.000,Accepted,Low,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-522528740,Queued\\Awaiting Assignment,Luc,2011/05/03 10:45:41.000,Queued,Low,Awaiting Assignment,D5,A2_1,nl,Org line C,PROD542,Netherlands
1-522528740,Accepted\\In Progress,Katia,2011/05/03 12:05:52.000,Accepted,Low,In Progress,D5,A2_1,nl,Org line C,PROD542,Belgium
1-522528740,Accepted\\Assigned,Katia,2011/05/03 12:05:57.000,Accepted,Low,Assigned,D5,A2_1,nl,Org line C,PROD542,Belgium
1-522528740,Accepted\\In Progress,Henk,2011/05/03 13:20:46.000,Accepted,Low,In Progress,D5,A2_1,nl,Org line C,PROD542,Belgium
1-522528740,Queued\\Awaiting Assignment,Henk,2011/05/03 13:24:45.000,Queued,Low,Awaiting Assignment,V32 2nd,,nl,Org line V7n,PROD542,Belgium
1-503573772,Accepted\\In Progress,Earl,2011/05/04 18:07:37.000,Accepted,Medium,In Progress,V32 2nd,,nl,Org line V7n,PROD706,Netherlands
1-504538555,Accepted\\In Progress,Earl,2011/05/04 18:08:55.000,Accepted,Medium,In Progress,V32 2nd,,nl,Org line V7n,PROD706,Netherlands
1-506071646,Accepted\\In Progress,Earl,2011/05/04 18:36:03.000,Accepted,Medium,In Progress,V32 2nd,,nl,Org line V7n,PROD542,Netherlands
1-523391859,Accepted\\In Progress,Elaine,2011/05/05 15:47:54.000,Accepted,Medium,In Progress,V39 2nd,,br,Org line B,PROD116,Brazil
1-523391859,Accepted\\In Progress,Elaine,2011/05/05 15:48:38.000,Accepted,Medium,In Progress,V39 2nd,,br,Org line B,PROD116,Brazil
1-523391859,Accepted\\Wait - Vendor,Elaine,2011/05/05 16:01:23.000,Accepted,Medium,Wait - Vendor,V39 2nd,,br,Org line B,PROD116,Brazil
1-523391859,Accepted\\In Progress,Elaine,2011/05/05 19:21:53.000,Accepted,Medium,In Progress,V39 2nd,,br,Org line B,PROD116,Brazil
1-516553982,Accepted\\In Progress,Earl,2011/05/11 15:31:55.000,Accepted,Medium,In Progress,V32 2nd,,nl,Org line V7n,PROD542,Netherlands
1-522528740,Accepted\\In Progress,Earl,2011/05/11 15:39:42.000,Accepted,Low,In Progress,V32 2nd,,nl,Org line V7n,PROD542,Netherlands
1-506071646,Queued\\Awaiting Assignment,Earl,2011/05/23 14:52:07.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-506071646,Accepted\\In Progress,Olga,2011/05/24 15:02:14.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\Wait - User,Olga,2011/05/24 17:16:36.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/05/25 16:25:09.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Siebel,2011/05/26 14:52:07.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,0
1-529067006,Accepted\\In Progress,Olga,2011/05/26 15:57:29.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-529067006,Accepted\\In Progress,Olga,2011/05/26 15:57:50.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-529067006,Queued\\Awaiting Assignment,Olga,2011/05/26 16:07:31.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-506071646,Accepted\\Wait - User,Olga,2011/05/26 16:20:06.000,Accepted,Medium,Wait - User,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Accepted\\In Progress,Olga,2011/05/26 16:21:36.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-506071646,Queued\\Awaiting Assignment,Olga,2011/05/26 16:21:59.000,Queued,Medium,Awaiting Assignment,V32 2nd,,nl,Org line V7n,PROD542,POLAND
1-529096847,Accepted\\In Progress,Olga,2011/05/26 18:01:53.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-529096847,Accepted\\In Progress,Olga,2011/05/26 18:02:23.000,Accepted,Medium,In Progress,D8,A2_1,nl,Org line A2,PROD542,POLAND
1-529096847,Queued\\Awaiting Assignment,Olga,2011/05/26 18:10:38.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD542,POLAND
1-529067006,Accepted\\In Progress,Luc,2011/05/30 12:44:09.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-529067006,Queued\\Awaiting Assignment,Luc,2011/05/30 12:46:01.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
1-529096847,Accepted\\In Progress,Tsun Fai,2011/05/30 12:46:17.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD542,Netherlands
1-529096847,Queued\\Awaiting Assignment,Tsun Fai,2011/05/30 12:48:32.000,Queued,Medium,Awaiting Assignment,D8,A2_1,nl,Org line A2,PROD542,Netherlands
