Case ID,Activity,Resource,Start Timestamp,Complete Timestamp
12,Register,System,2014/04/02 11:03:03.000,2014/04/02 11:03:03.000
12,Acceptance of requests,group1,2014/04/02 11:03:03.000,2014/04/02 11:19:16.000
13,Register,System,2014/04/02 11:05:35.000,2014/04/02 11:05:35.000
13,Acceptance of requests,group1,2014/04/02 11:05:35.000,2014/04/02 11:24:42.000
14,Register,System,2014/04/02 11:06:29.000,2014/04/02 11:06:29.000
14,Acceptance of requests,group1,2014/04/02 11:06:29.000,2014/04/02 11:25:45.000
2,Completeness check,group2,2014/04/02 11:07:03.000,2014/04/02 12:20:18.000
15,Register,System,2014/04/02 11:09:20.000,2014/04/02 11:09:20.000
15,Acceptance of requests,group1,2014/04/02 11:09:20.000,2014/04/02 11:18:35.000
16,Register,System,2014/04/02 11:11:40.000,2014/04/02 11:11:40.000
16,Acceptance of requests,group1,2014/04/02 11:11:40.000,2014/04/02 11:21:39.000
4,Completeness check,group2,2014/04/02 11:16:52.000,2014/04/02 12:45:14.000
15,Collection of documents,group1,2014/04/02 11:18:35.000,2014/04/02 13:28:09.000
12,Collection of documents,group1,2014/04/02 11:19:16.000,2014/04/02 13:10:27.000
17,Register,System,2014/04/02 11:19:50.000,2014/04/02 11:19:50.000
17,Acceptance of requests,group1,2014/04/02 11:19:50.000,2014/04/02 11:30:53.000
11,Collection of documents,group1,2014/04/02 11:20:04.000,2014/04/02 12:47:32.000
18,Register,System,2014/04/02 11:21:05.000,2014/04/02 11:21:05.000
18,Acceptance of requests,group1,2014/04/02 11:21:05.000,2014/04/02 11:39:59.000
16,Collection of documents,group1,2014/04/02 11:21:39.000,2014/04/02 12:24:21.000
19,Register,System,2014/04/02 11:22:03.000,2014/04/02 11:22:03.000
19,Acceptance of requests,group1,2014/04/02 11:22:03.000,2014/04/02 11:40:28.000
13,Collection of documents,group1,2014/04/02 11:24:42.000,2014/04/02 12:58:32.000
14,Collection of documents,group1,2014/04/02 11:25:45.000,2014/04/02 12:47:31.000
10,Completeness check,group2,2014/04/02 11:27:57.000,2014/04/02 12:25:55.000
20,Register,System,2014/04/02 11:27:58.000,2014/04/02 11:27:58.000
20,Acceptance of requests,group1,2014/04/02 11:27:58.000,2014/04/02 11:43:04.000
21,Register,System,2014/04/02 11:28:19.000,2014/04/02 11:28:19.000
21,Acceptance of requests,group1,2014/04/02 11:28:19.000,2014/04/02 11:39:59.000
17,Collection of documents,group1,2014/04/02 11:30:53.000,2014/04/02 12:04:18.000
3,Completeness check,group2,2014/04/02 11:36:44.000,2014/04/02 12:24:58.000
18,Collection of documents,group1,2014/04/02 11:39:59.000,2014/04/02 12:33:50.000
21,Collection of documents,group1,2014/04/02 11:39:59.000,2014/04/02 12:55:00.000
19,Collection of documents,group1,2014/04/02 11:40:28.000,2014/04/02 13:34:50.000
20,Collection of documents,group1,2014/04/02 11:43:04.000,2014/04/02 14:01:05.000
7,Completeness check,group2,2014/04/02 11:47:28.000,2014/04/02 12:45:12.000
1,Completeness check,group2,2014/04/02 11:47:48.000,2014/04/02 13:05:04.000
22,Register,System,2014/04/02 11:48:29.000,2014/04/02 11:48:29.000
22,Acceptance of requests,group1,2014/04/02 11:48:29.000,2014/04/02 12:07:08.000
8,Completeness check,group2,2014/04/02 11:49:04.000,2014/04/02 12:42:39.000
6,Completeness check,group2,2014/04/02 11:51:31.000,2014/04/02 12:48:39.000
23,Register,System,2014/04/02 11:52:31.000,2014/04/02 11:52:31.000
23,Acceptance of requests,group1,2014/04/02 11:52:31.000,2014/04/02 12:08:36.000
24,Register,System,2014/04/02 11:54:06.000,2014/04/02 11:54:06.000
24,Acceptance of requests,group1,2014/04/02 11:54:06.000,2014/04/02 12:06:26.000
25,Register,System,2014/04/02 12:01:14.000,2014/04/02 12:01:14.000
25,Acceptance of requests,group1,2014/04/02 12:01:14.000,2014/04/02 12:15:23.000
17,Completeness check,group2,2014/04/02 12:04:18.000,2014/04/02 13:32:36.000
24,Collection of documents,group1,2014/04/02 12:06:26.000,2014/04/02 14:23:24.000
22,Collection of documents,group1,2014/04/02 12:07:08.000,2014/04/02 13:37:37.000
23,Collection of documents,group1,2014/04/02 12:08:36.000,2014/04/02 13:19:08.000
26,Register,System,2014/04/02 12:12:53.000,2014/04/02 12:12:53.000
26,Acceptance of requests,group1,2014/04/02 12:12:53.000,2014/04/02 12:25:33.000
27,Register,System,2014/04/02 12:12:59.000,2014/04/02 12:12:59.000
27,Acceptance of requests,group1,2014/04/02 12:12:59.000,2014/04/02 12:25:58.000
25,Collection of documents,group1,2014/04/02 12:15:23.000,2014/04/02 13:23:56.000
28,Register,System,2014/04/02 12:16:23.000,2014/04/02 12:16:23.000
28,Acceptance of requests,group1,2014/04/02 12:16:23.000,2014/04/02 12:33:41.000
29,Register,System,2014/04/02 12:18:02.000,2014/04/02 12:18:02.000
29,Acceptance of requests,group1,2014/04/02 12:18:02.000,2014/04/02 12:27:26.000
30,Register,System,2014/04/02 12:19:58.000,2014/04/02 12:19:58.000
30,Acceptance of requests,group1,2014/04/02 12:19:58.000,2014/04/02 12:38:49.000
2,Credit worthiness check,group3,2014/04/02 12:20:18.000,2014/04/02 13:55:09.000
16,Completeness check,group2,2014/04/02 12:24:21.000,2014/04/02 13:46:15.000
3,Credit worthiness check,group3,2014/04/02 12:24:58.000,2014/04/02 13:55:45.000
5,Completeness check,group2,2014/04/02 12:25:03.000,2014/04/02 13:42:31.000
26,Collection of documents,group1,2014/04/02 12:25:33.000,2014/04/02 14:58:33.000
10,Credit worthiness check,group3,2014/04/02 12:25:55.000,2014/04/02 13:38:21.000
27,Collection of documents,group1,2014/04/02 12:25:58.000,2014/04/02 13:46:25.000
29,Collection of documents,group1,2014/04/02 12:27:26.000,2014/04/02 13:46:17.000
31,Register,System,2014/04/02 12:28:56.000,2014/04/02 12:28:56.000
31,Acceptance of requests,group1,2014/04/02 12:28:56.000,2014/04/02 12:40:07.000
32,Register,System,2014/04/02 12:30:10.000,2014/04/02 12:30:10.000
32,Acceptance of requests,group1,2014/04/02 12:30:10.000,2014/04/02 12:49:52.000
28,Collection of documents,group1,2014/04/02 12:33:41.000,2014/04/02 14:20:51.000
18,Completeness check,group2,2014/04/02 12:33:50.000,2014/04/02 13:58:22.000
9,Completeness check,group2,2014/04/02 12:35:24.000,2014/04/02 13:30:11.000
30,Collection of documents,group1,2014/04/02 12:38:49.000,2014/04/02 14:49:45.000
31,Collection of documents,group1,2014/04/02 12:40:07.000,2014/04/02 13:52:55.000
8,Credit worthiness check,group3,2014/04/02 12:42:39.000,2014/04/02 14:00:55.000
7,Credit worthiness check,group3,2014/04/02 12:45:12.000,2014/04/02 14:13:21.000
4,Credit worthiness check,group3,2014/04/02 12:45:14.000,2014/04/02 14:03:54.000
14,Completeness check,group2,2014/04/02 12:47:31.000,2014/04/02 14:05:14.000
11,Completeness check,group2,2014/04/02 12:47:32.000,2014/04/02 13:53:25.000
6,Credit worthiness check,group3,2014/04/02 12:48:39.000,2014/04/02 14:11:29.000
33,Register,System,2014/04/02 12:48:42.000,2014/04/02 12:48:42.000
33,Acceptance of requests,group1,2014/04/02 12:48:42.000,2014/04/02 12:58:33.000
32,Collection of documents,group1,2014/04/02 12:49:52.000,2014/04/02 13:48:05.000
34,Register,System,2014/04/02 12:52:25.000,2014/04/02 12:52:25.000
34,Acceptance of requests,group1,2014/04/02 12:52:25.000,2014/04/02 13:03:49.000
35,Register,System,2014/04/02 12:53:42.000,2014/04/02 12:53:42.000
35,Acceptance of requests,group1,2014/04/02 12:53:42.000,2014/04/02 13:04:15.000
21,Completeness check,group2,2014/04/02 12:55:00.000,2014/04/02 13:50:06.000
13,Completeness check,group2,2014/04/02 12:58:32.000,2014/04/02 14:15:31.000
33,Collection of documents,group1,2014/04/02 12:58:33.000,2014/04/02 14:08:25.000
36,Register,System,2014/04/02 12:59:30.000,2014/04/02 12:59:30.000
36,Acceptance of requests,group1,2014/04/02 12:59:30.000,2014/04/02 13:12:46.000
37,Register,System,2014/04/02 13:01:06.000,2014/04/02 13:01:06.000
37,Acceptance of requests,group1,2014/04/02 13:01:06.000,2014/04/02 13:17:54.000
38,Register,System,2014/04/02 13:01:47.000,2014/04/02 13:01:47.000
38,Acceptance of requests,group1,2014/04/02 13:01:47.000,2014/04/02 13:11:09.000
39,Register,System,2014/04/02 13:03:23.000,2014/04/02 13:03:23.000
39,Acceptance of requests,group1,2014/04/02 13:03:23.000,2014/04/02 13:19:30.000
34,Collection of documents,group1,2014/04/02 13:03:49.000,2014/04/02 13:38:35.000
35,Collection of documents,group1,2014/04/02 13:04:15.000,2014/04/02 14:27:52.000
1,Credit worthiness check,group3,2014/04/02 13:05:04.000,2014/04/02 14:40:06.000
40,Register,System,2014/04/02 13:05:31.000,2014/04/02 13:05:31.000
40,Acceptance of requests,group1,2014/04/02 13:05:31.000,2014/04/02 13:19:54.000
12,Completeness check,group2,2014/04/02 13:10:27.000,2014/04/02 14:18:53.000
41,Register,System,2014/04/02 13:10:40.000,2014/04/02 13:10:40.000
41,Acceptance of requests,group1,2014/04/02 13:10:40.000,2014/04/02 13:30:17.000
42,Register,System,2014/04/02 13:11:02.000,2014/04/02 13:11:02.000
42,Acceptance of requests,group1,2014/04/02 13:11:02.000,2014/04/02 13:30:16.000
38,Collection of documents,group1,2014/04/02 13:11:09.000,2014/04/02 14:51:10.000
36,Collection of documents,group1,2014/04/02 13:12:46.000,2014/04/02 14:52:49.000
37,Collection of documents,group1,2014/04/02 13:17:54.000,2014/04/02 15:07:00.000
23,Completeness check,group2,2014/04/02 13:19:08.000,2014/04/02 14:38:00.000
39,Collection of documents,group1,2014/04/02 13:19:30.000,2014/04/02 14:59:36.000
40,Collection of documents,group1,2014/04/02 13:19:54.000,2014/04/02 15:27:05.000
43,Register,System,2014/04/02 13:21:17.000,2014/04/02 13:21:17.000
43,Acceptance of requests,group1,2014/04/02 13:21:17.000,2014/04/02 13:33:32.000
25,Completeness check,group2,2014/04/02 13:23:56.000,2014/04/02 14:30:55.000
15,Completeness check,group2,2014/04/02 13:28:09.000,2014/04/02 14:18:05.000
9,Credit worthiness check,group3,2014/04/02 13:30:11.000,2014/04/02 14:58:16.000
42,Collection of documents,group1,2014/04/02 13:30:16.000,2014/04/02 14:19:49.000
41,Collection of documents,group1,2014/04/02 13:30:17.000,2014/04/02 15:27:39.000
17,Credit worthiness check,group3,2014/04/02 13:32:36.000,2014/04/02 14:54:54.000
43,Collection of documents,group1,2014/04/02 13:33:32.000,2014/04/02 14:58:58.000
19,Completeness check,group2,2014/04/02 13:34:50.000,2014/04/02 14:31:54.000
22,Completeness check,group2,2014/04/02 13:37:37.000,2014/04/02 14:38:38.000
10,Collateral check,group4,2014/04/02 13:38:21.000,2014/04/02 14:22:17.000
34,Completeness check,group2,2014/04/02 13:38:35.000,2014/04/02 15:02:00.000
5,Credit worthiness check,group3,2014/04/02 13:42:31.000,2014/04/02 15:04:40.000
16,Credit worthiness check,group3,2014/04/02 13:46:15.000,2014/04/02 15:12:22.000
29,Completeness check,group2,2014/04/02 13:46:17.000,2014/04/02 15:16:07.000
27,Completeness check,group2,2014/04/02 13:46:25.000,2014/04/02 14:53:58.000
32,Completeness check,group2,2014/04/02 13:48:05.000,2014/04/02 14:53:41.000
21,Credit worthiness check,group3,2014/04/02 13:50:06.000,2014/04/02 15:16:58.000
31,Completeness check,group2,2014/04/02 13:52:55.000,2014/04/02 15:05:33.000
11,Credit worthiness check,group3,2014/04/02 13:53:25.000,2014/04/02 15:16:02.000
2,Collateral check,group4,2014/04/02 13:55:09.000,2014/04/02 14:55:19.000
3,Collateral check,group4,2014/04/02 13:55:45.000,2014/04/02 14:25:18.000
18,Credit worthiness check,group3,2014/04/02 13:58:22.000,2014/04/02 15:26:22.000
8,Collateral check,group4,2014/04/02 14:00:55.000,2014/04/02 15:06:02.000
20,Completeness check,group2,2014/04/02 14:01:05.000,2014/04/02 15:11:06.000
44,Register,System,2014/04/02 14:02:57.000,2014/04/02 14:02:57.000
44,Acceptance of requests,group1,2014/04/02 14:02:57.000,2014/04/02 14:14:08.000
4,Collateral check,group4,2014/04/02 14:03:54.000,2014/04/02 15:04:36.000
14,Credit worthiness check,group3,2014/04/02 14:05:14.000,2014/04/02 15:16:39.000
45,Register,System,2014/04/02 14:06:29.000,2014/04/02 14:06:29.000
45,Acceptance of requests,group1,2014/04/02 14:06:29.000,2014/04/02 14:17:54.000
33,Completeness check,group2,2014/04/02 14:08:25.000,2014/04/02 15:21:35.000
46,Register,System,2014/04/02 14:09:23.000,2014/04/02 14:09:23.000
46,Acceptance of requests,group1,2014/04/02 14:09:23.000,2014/04/02 14:29:08.000
6,Collateral check,group4,2014/04/02 14:11:29.000,2014/04/02 14:32:57.000
7,Collateral check,group4,2014/04/02 14:13:21.000,2014/04/02 15:13:47.000
44,Collection of documents,group1,2014/04/02 14:14:08.000,2014/04/02 15:18:57.000
13,Credit worthiness check,group3,2014/04/02 14:15:31.000,2014/04/02 15:48:51.000
45,Collection of documents,group1,2014/04/02 14:17:54.000,2014/04/02 16:17:43.000
15,Credit worthiness check,group3,2014/04/02 14:18:05.000,2014/04/02 15:39:32.000
12,Credit worthiness check,group3,2014/04/02 14:18:53.000,2014/04/02 15:43:41.000
42,Completeness check,group2,2014/04/02 14:19:49.000,2014/04/02 15:15:14.000
47,Register,System,2014/04/02 14:20:17.000,2014/04/02 14:20:17.000
47,Acceptance of requests,group1,2014/04/02 14:20:17.000,2014/04/02 14:29:33.000
28,Completeness check,group2,2014/04/02 14:20:51.000,2014/04/02 15:14:57.000
10,Credit committee,group5,2014/04/02 14:22:17.000,2014/04/02 15:21:47.000
24,Completeness check,group2,2014/04/02 14:23:24.000,2014/04/02 15:17:57.000
3,Credit committee,group5,2014/04/02 14:25:18.000,2014/04/02 15:10:29.000
35,Completeness check,group2,2014/04/02 14:27:52.000,2014/04/02 15:28:27.000
46,Collection of documents,group1,2014/04/02 14:29:08.000,2014/04/02 15:27:56.000
47,Collection of documents,group1,2014/04/02 14:29:33.000,2014/04/02 16:37:30.000
25,Credit worthiness check,group3,2014/04/02 14:30:55.000,2014/04/02 15:48:54.000
19,Credit worthiness check,group3,2014/04/02 14:31:54.000,2014/04/02 15:59:32.000
6,Credit committee,group5,2014/04/02 14:32:57.000,2014/04/02 15:05:37.000
48,Register,System,2014/04/02 14:36:45.000,2014/04/02 14:36:45.000
48,Acceptance of requests,group1,2014/04/02 14:36:45.000,2014/04/02 14:50:04.000
49,Register,System,2014/04/02 14:37:03.000,2014/04/02 14:37:03.000
49,Acceptance of requests,group1,2014/04/02 14:37:03.000,2014/04/02 14:48:46.000
23,Credit worthiness check,group3,2014/04/02 14:38:00.000,2014/04/02 16:04:41.000
22,Credit worthiness check,group3,2014/04/02 14:38:38.000,2014/04/02 15:46:29.000
1,Collateral check,group4,2014/04/02 14:40:06.000,2014/04/02 15:35:35.000
50,Register,System,2014/04/02 14:45:23.000,2014/04/02 14:45:23.000
50,Acceptance of requests,group1,2014/04/02 14:45:23.000,2014/04/02 14:55:03.000
51,Register,System,2014/04/02 14:46:24.000,2014/04/02 14:46:24.000
51,Acceptance of requests,group1,2014/04/02 14:46:24.000,2014/04/02 14:58:28.000
52,Register,System,2014/04/02 14:47:01.000,2014/04/02 14:47:01.000
52,Acceptance of requests,group1,2014/04/02 14:47:01.000,2014/04/02 14:57:00.000
49,Collection of documents,group1,2014/04/02 14:48:46.000,2014/04/02 16:10:25.000
30,Completeness check,group2,2014/04/02 14:49:45.000,2014/04/02 16:18:11.000
48,Collection of documents,group1,2014/04/02 14:50:04.000,2014/04/02 16:44:44.000
38,Completeness check,group2,2014/04/02 14:51:10.000,2014/04/02 15:44:33.000
53,Register,System,2014/04/02 14:52:13.000,2014/04/02 14:52:13.000
53,Acceptance of requests,group1,2014/04/02 14:52:13.000,2014/04/02 15:01:35.000
36,Completeness check,group2,2014/04/02 14:52:49.000,2014/04/02 16:11:30.000
54,Register,System,2014/04/02 14:53:31.000,2014/04/02 14:53:31.000
54,Acceptance of requests,group1,2014/04/02 14:53:31.000,2014/04/02 15:12:41.000
32,Credit worthiness check,group3,2014/04/02 14:53:41.000,2014/04/02 16:15:34.000
27,Credit worthiness check,group3,2014/04/02 14:53:58.000,2014/04/02 16:23:15.000
17,Collateral check,group4,2014/04/02 14:54:54.000,2014/04/02 15:34:46.000
50,Collection of documents,group1,2014/04/02 14:55:03.000,2014/04/02 16:54:50.000
2,Credit committee,group5,2014/04/02 14:55:19.000,2014/04/02 15:33:33.000
55,Register,System,2014/04/02 14:56:50.000,2014/04/02 14:56:50.000
55,Acceptance of requests,group1,2014/04/02 14:56:50.000,2014/04/02 15:07:21.000
52,Collection of documents,group1,2014/04/02 14:57:00.000,2014/04/02 16:53:40.000
9,Collateral check,group4,2014/04/02 14:58:16.000,2014/04/02 15:50:22.000
51,Collection of documents,group1,2014/04/02 14:58:28.000,2014/04/02 16:59:42.000
26,Completeness check,group2,2014/04/02 14:58:33.000,2014/04/02 16:13:41.000
56,Register,System,2014/04/02 14:58:35.000,2014/04/02 14:58:35.000
56,Acceptance of requests,group1,2014/04/02 14:58:35.000,2014/04/02 15:15:43.000
43,Completeness check,group2,2014/04/02 14:58:58.000,2014/04/02 15:47:48.000
39,Completeness check,group2,2014/04/02 14:59:36.000,2014/04/02 16:16:38.000
53,Collection of documents,group1,2014/04/02 15:01:35.000,2014/04/02 16:03:00.000
57,Register,System,2014/04/02 15:01:44.000,2014/04/02 15:01:44.000
57,Acceptance of requests,group1,2014/04/02 15:01:44.000,2014/04/02 15:18:06.000
34,Credit worthiness check,group3,2014/04/02 15:02:00.000,2014/04/02 16:31:50.000
4,Credit committee,group5,2014/04/02 15:04:36.000,2014/04/02 15:34:08.000
5,Collateral check,group4,2014/04/02 15:04:40.000,2014/04/02 15:31:35.000
58,Register,System,2014/04/02 15:04:47.000,2014/04/02 15:04:47.000
58,Acceptance of requests,group1,2014/04/02 15:04:47.000,2014/04/02 15:23:56.000
31,Credit worthiness check,group3,2014/04/02 15:05:33.000,2014/04/02 16:27:20.000
6,Requirements review,group6,2014/04/02 15:05:37.000,2014/04/02 15:16:58.000
8,Credit committee,group5,2014/04/02 15:06:02.000,2014/04/02 15:45:42.000
37,Completeness check,group2,2014/04/02 15:07:00.000,2014/04/02 16:19:27.000
55,Collection of documents,group1,2014/04/02 15:07:21.000,2014/04/02 17:04:20.000
3,Requirements review,group6,2014/04/02 15:10:29.000,2014/04/02 15:15:46.000
59,Register,System,2014/04/02 15:10:52.000,2014/04/02 15:10:52.000
59,Acceptance of requests,group1,2014/04/02 15:10:52.000,2014/04/02 15:22:10.000
20,Credit worthiness check,group3,2014/04/02 15:11:06.000,2014/04/02 16:39:03.000
60,Register,System,2014/04/02 15:11:42.000,2014/04/02 15:11:42.000
60,Acceptance of requests,group1,2014/04/02 15:11:42.000,2014/04/02 15:26:30.000
16,Collateral check,group4,2014/04/02 15:12:22.000,2014/04/02 16:23:23.000
54,Collection of documents,group1,2014/04/02 15:12:41.000,2014/04/02 16:38:22.000
7,Credit committee,group5,2014/04/02 15:13:47.000,2014/04/02 16:17:19.000
28,Credit worthiness check,group3,2014/04/02 15:14:57.000,2014/04/02 16:48:31.000
42,Credit worthiness check,group3,2014/04/02 15:15:14.000,2014/04/02 16:24:07.000
56,Collection of documents,group1,2014/04/02 15:15:43.000,2014/04/02 16:28:30.000
11,Collateral check,group4,2014/04/02 15:16:02.000,2014/04/02 15:43:31.000
29,Credit worthiness check,group3,2014/04/02 15:16:07.000,2014/04/02 16:44:37.000
14,Collateral check,group4,2014/04/02 15:16:39.000,2014/04/02 15:58:03.000
21,Collateral check,group4,2014/04/02 15:16:58.000,2014/04/02 16:17:40.000
24,Credit worthiness check,group3,2014/04/02 15:17:57.000,2014/04/02 16:48:35.000
57,Collection of documents,group1,2014/04/02 15:18:06.000,2014/04/02 17:16:04.000
44,Completeness check,group2,2014/04/02 15:18:57.000,2014/04/02 16:27:38.000
61,Register,System,2014/04/02 15:19:09.000,2014/04/02 15:19:09.000
61,Acceptance of requests,group1,2014/04/02 15:19:09.000,2014/04/02 15:30:23.000
33,Credit worthiness check,group3,2014/04/02 15:21:35.000,2014/04/02 16:29:46.000
10,Requirements review,group6,2014/04/02 15:21:47.000,2014/04/02 15:28:55.000
59,Collection of documents,group1,2014/04/02 15:22:10.000,2014/04/02 16:10:05.000
62,Register,System,2014/04/02 15:23:02.000,2014/04/02 15:23:02.000
62,Acceptance of requests,group1,2014/04/02 15:23:02.000,2014/04/02 15:32:47.000
63,Register,System,2014/04/02 15:23:40.000,2014/04/02 15:23:40.000
63,Acceptance of requests,group1,2014/04/02 15:23:40.000,2014/04/02 15:41:38.000
58,Collection of documents,group1,2014/04/02 15:23:56.000,2014/04/02 16:27:40.000
18,Collateral check,group4,2014/04/02 15:26:22.000,2014/04/02 16:23:26.000
60,Collection of documents,group1,2014/04/02 15:26:30.000,2014/04/02 17:21:34.000
40,Completeness check,group2,2014/04/02 15:27:05.000,2014/04/02 16:22:15.000
41,Completeness check,group2,2014/04/02 15:27:39.000,2014/04/02 16:55:31.000
46,Completeness check,group2,2014/04/02 15:27:56.000,2014/04/02 16:51:28.000
35,Credit worthiness check,group3,2014/04/02 15:28:27.000,2014/04/02 16:48:14.000
61,Collection of documents,group1,2014/04/02 15:30:23.000,2014/04/02 17:14:49.000
5,Credit committee,group5,2014/04/02 15:31:35.000,2014/04/02 16:02:16.000
64,Register,System,2014/04/02 15:32:27.000,2014/04/02 15:32:27.000
64,Acceptance of requests,group1,2014/04/02 15:32:27.000,2014/04/02 15:46:24.000
62,Collection of documents,group1,2014/04/02 15:32:47.000,2014/04/02 17:00:26.000
2,Requirements review,group6,2014/04/02 15:33:33.000,2014/04/02 15:43:10.000
4,Requirements review,group6,2014/04/02 15:34:08.000,2014/04/02 15:48:00.000
17,Credit committee,group5,2014/04/02 15:34:46.000,2014/04/02 16:30:41.000
1,Credit committee,group5,2014/04/02 15:35:35.000,2014/04/02 16:17:41.000
65,Register,System,2014/04/02 15:38:21.000,2014/04/02 15:38:21.000
65,Acceptance of requests,group1,2014/04/02 15:38:21.000,2014/04/02 15:56:15.000
15,Collateral check,group4,2014/04/02 15:39:32.000,2014/04/02 16:21:02.000
63,Collection of documents,group1,2014/04/02 15:41:38.000,2014/04/02 17:51:43.000
11,Credit committee,group5,2014/04/02 15:43:31.000,2014/04/02 16:22:02.000
12,Collateral check,group4,2014/04/02 15:43:41.000,2014/04/02 16:36:29.000
38,Credit worthiness check,group3,2014/04/02 15:44:33.000,2014/04/02 16:58:13.000
8,Requirements review,group6,2014/04/02 15:45:42.000,2014/04/02 15:57:17.000
64,Collection of documents,group1,2014/04/02 15:46:24.000,2014/04/02 16:51:06.000
22,Collateral check,group4,2014/04/02 15:46:29.000,2014/04/02 16:38:56.000
43,Credit worthiness check,group3,2014/04/02 15:47:48.000,2014/04/02 17:16:58.000
13,Collateral check,group4,2014/04/02 15:48:51.000,2014/04/02 16:42:22.000
25,Collateral check,group4,2014/04/02 15:48:54.000,2014/04/02 16:56:34.000
9,Credit committee,group5,2014/04/02 15:50:22.000,2014/04/02 16:31:23.000
66,Register,System,2014/04/02 15:54:43.000,2014/04/02 15:54:43.000
66,Acceptance of requests,group1,2014/04/02 15:54:43.000,2014/04/02 16:08:33.000
65,Collection of documents,group1,2014/04/02 15:56:15.000,2014/04/02 17:24:30.000
14,Credit committee,group5,2014/04/02 15:58:03.000,2014/04/02 17:31:35.000
19,Collateral check,group4,2014/04/02 15:59:32.000,2014/04/02 16:47:20.000
5,Requirements review,group6,2014/04/02 16:02:16.000,2014/04/02 16:09:47.000
53,Completeness check,group2,2014/04/02 16:03:00.000,2014/04/02 16:57:46.000
67,Register,System,2014/04/02 16:04:38.000,2014/04/02 16:04:38.000
67,Acceptance of requests,group1,2014/04/02 16:04:38.000,2014/04/02 16:17:17.000
23,Collateral check,group4,2014/04/02 16:04:41.000,2014/04/02 16:56:44.000
68,Register,System,2014/04/02 16:07:01.000,2014/04/02 16:07:01.000
68,Acceptance of requests,group1,2014/04/02 16:07:01.000,2014/04/02 16:26:28.000
69,Register,System,2014/04/02 16:07:21.000,2014/04/02 16:07:21.000
69,Acceptance of requests,group1,2014/04/02 16:07:21.000,2014/04/02 16:27:00.000
66,Collection of documents,group1,2014/04/02 16:08:33.000,2014/04/02 17:10:45.000
59,Completeness check,group2,2014/04/02 16:10:05.000,2014/04/02 17:31:05.000
49,Completeness check,group2,2014/04/02 16:10:25.000,2014/04/02 17:32:07.000
36,Credit worthiness check,group3,2014/04/02 16:11:30.000,2014/04/02 17:34:35.000
70,Register,System,2014/04/02 16:13:06.000,2014/04/02 16:13:06.000
70,Acceptance of requests,group1,2014/04/02 16:13:06.000,2014/04/02 16:26:43.000
26,Credit worthiness check,group3,2014/04/02 16:13:41.000,2014/04/02 17:36:22.000
71,Register,System,2014/04/02 16:14:02.000,2014/04/02 16:14:02.000
71,Acceptance of requests,group1,2014/04/02 16:14:02.000,2014/04/02 16:33:55.000
