Case ID,Activity,Resource,Complete Timestamp,concept:name,customer,lifecycle:transition,org:resource,product,responsible_section,seriousness,service_level,service_type,support_section,workgroup
Case2742,Assign seriousness,Value 2,2010/01/22 15:49:01.000,Assign seriousness,Value 148,complete,Value 2,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case2742,Take in charge ticket,Value 2,2010/01/22 15:49:10.000,Take in charge ticket,Value 148,complete,Value 2,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case1768,Resolve ticket,Value 11,2010/01/25 14:23:52.000,Resolve ticket,Value 35,complete,Value 11,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case1223,Start,Start,2010/01/26 12:36:21.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1223,Assign seriousness,Value 2,2010/01/26 12:36:21.000,Assign seriousness,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case1223,Take in charge ticket,Value 2,2010/01/26 12:36:30.000,Take in charge ticket,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case1000,Resolve ticket,Value 2,2010/01/26 15:06:53.000,Resolve ticket,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case1703,Start,Start,2010/01/26 15:14:39.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1703,Assign seriousness,Value 2,2010/01/26 15:14:39.000,Assign seriousness,Value 16,complete,Value 2,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case1223,Resolve ticket,Value 2,2010/01/26 17:06:29.000,Resolve ticket,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case1223,Take in charge ticket,Value 2,2010/01/27 15:28:58.000,Take in charge ticket,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case4505,Start,Start,2010/01/29 11:14:43.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4505,Assign seriousness,Value 2,2010/01/29 11:14:43.000,Assign seriousness,Value 91,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case4505,Take in charge ticket,Value 2,2010/01/29 11:14:56.000,Take in charge ticket,Value 91,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case4505,Resolve ticket,Value 2,2010/01/29 11:15:02.000,Resolve ticket,Value 91,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case1621,Take in charge ticket,Value 2,2010/02/01 09:16:26.000,Take in charge ticket,Value 126,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1
Case1621,Resolve ticket,Value 2,2010/02/01 09:30:33.000,Resolve ticket,Value 126,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1
Case3625,Take in charge ticket,Value 2,2010/02/01 12:43:31.000,Take in charge ticket,Value 53,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case2441,Start,Start,2010/02/02 10:49:41.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2441,Assign seriousness,Value 2,2010/02/02 10:49:41.000,Assign seriousness,Value 186,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case588,Start,Start,2010/02/02 10:52:38.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case588,Assign seriousness,Value 2,2010/02/02 10:52:38.000,Assign seriousness,Value 76,complete,Value 2,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case1400,Start,Start,2010/02/02 10:57:11.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1400,Assign seriousness,Value 2,2010/02/02 10:57:11.000,Assign seriousness,Value 108,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case1400,Take in charge ticket,Value 2,2010/02/02 10:57:23.000,Take in charge ticket,Value 108,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case1400,Resolve ticket,Value 2,2010/02/02 10:57:29.000,Resolve ticket,Value 108,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case1196,Start,Start,2010/02/02 11:17:37.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1196,Assign seriousness,Value 2,2010/02/02 11:17:37.000,Assign seriousness,Value 126,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case1468,Start,Start,2010/02/02 11:18:33.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1468,Assign seriousness,Value 2,2010/02/02 11:18:33.000,Assign seriousness,Value 92,complete,Value 2,Value 9,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3
Case189,Start,Start,2010/02/02 14:49:13.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case189,Assign seriousness,Value 2,2010/02/02 14:49:13.000,Assign seriousness,Value 100,complete,Value 2,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case189,Assign seriousness,Value 2,2010/02/02 15:04:15.000,Assign seriousness,Value 100,complete,Value 2,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case189,Take in charge ticket,Value 2,2010/02/03 15:27:07.000,Take in charge ticket,Value 100,complete,Value 2,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case189,Resolve ticket,Value 2,2010/02/03 15:27:16.000,Resolve ticket,Value 100,complete,Value 2,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case4378,Start,Start,2010/02/04 09:20:45.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4378,Assign seriousness,Value 2,2010/02/04 09:20:45.000,Assign seriousness,Value 9,complete,Value 2,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case4378,Assign seriousness,Value 2,2010/02/04 09:21:00.000,Assign seriousness,Value 9,complete,Value 2,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case1798,Start,Start,2010/02/04 11:36:44.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1798,Assign seriousness,Value 2,2010/02/04 11:36:44.000,Assign seriousness,Value 22,complete,Value 2,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case2088,Start,Start,2010/02/04 11:37:45.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2088,Assign seriousness,Value 2,2010/02/04 11:37:45.000,Assign seriousness,Value 22,complete,Value 2,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case1798,Take in charge ticket,Value 2,2010/02/04 11:49:49.000,Take in charge ticket,Value 22,complete,Value 2,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case1798,Create SW anomaly,Value 2,2010/02/04 11:49:57.000,Create SW anomaly,Value 22,complete,Value 2,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case2088,Take in charge ticket,Value 2,2010/02/04 12:01:28.000,Take in charge ticket,Value 22,complete,Value 2,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case2088,Create SW anomaly,Value 2,2010/02/04 12:01:35.000,Create SW anomaly,Value 22,complete,Value 2,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case765,Start,Start,2010/02/05 12:15:48.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case765,Assign seriousness,Value 2,2010/02/05 12:15:48.000,Assign seriousness,Value 63,complete,Value 2,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3
Case2131,Start,Start,2010/02/08 12:02:38.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2131,Assign seriousness,Value 2,2010/02/08 12:02:38.000,Assign seriousness,Value 3,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case1223,Resolve ticket,Value 2,2010/02/08 12:54:13.000,Resolve ticket,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case1191,Start,Start,2010/02/08 16:06:58.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1191,Assign seriousness,Value 16,2010/02/08 16:06:58.000,Assign seriousness,Value 9,complete,Value 16,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2
Case1191,Take in charge ticket,Value 16,2010/02/08 16:12:00.000,Take in charge ticket,Value 9,complete,Value 16,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2
Case1191,Wait,Value 16,2010/02/08 16:12:28.000,Wait,Value 9,complete,Value 16,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2
Case81,Start,Start,2010/02/09 09:31:47.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case81,Assign seriousness,Value 16,2010/02/09 09:31:47.000,Assign seriousness,Value 9,complete,Value 16,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case81,Take in charge ticket,Value 16,2010/02/09 09:35:12.000,Take in charge ticket,Value 9,complete,Value 16,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case81,Wait,Value 16,2010/02/09 09:35:26.000,Wait,Value 9,complete,Value 16,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case81,Wait,Value 2,2010/02/09 09:36:27.000,Wait,Value 9,complete,Value 2,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case3918,Start,Start,2010/02/09 09:47:01.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3918,Assign seriousness,Value 2,2010/02/09 09:47:01.000,Assign seriousness,Value 125,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 3
Case2118,Take in charge ticket,Value 21,2010/02/09 16:01:11.000,Take in charge ticket,Value 235,complete,Value 21,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3
Case1130,Start,Start,2010/02/09 17:07:04.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1130,Assign seriousness,Value 2,2010/02/09 17:07:04.000,Assign seriousness,Value 88,complete,Value 2,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1
Case1130,Take in charge ticket,Value 2,2010/02/09 17:07:11.000,Take in charge ticket,Value 88,complete,Value 2,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1
Case1130,Resolve ticket,Value 2,2010/02/09 17:07:18.000,Resolve ticket,Value 88,complete,Value 2,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1
Case3849,Start,Start,2010/02/09 17:10:28.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3849,Assign seriousness,Value 2,2010/02/09 17:10:28.000,Assign seriousness,Value 317,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3
Case1703,Take in charge ticket,Value 2,2010/02/09 17:14:20.000,Take in charge ticket,Value 16,complete,Value 2,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case1703,Resolve ticket,Value 2,2010/02/09 17:14:25.000,Resolve ticket,Value 16,complete,Value 2,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case360,Start,Start,2010/02/09 17:17:06.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case360,Assign seriousness,Value 2,2010/02/09 17:17:06.000,Assign seriousness,Value 16,complete,Value 2,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case10,Start,Start,2010/02/10 09:50:20.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case10,Assign seriousness,Value 2,2010/02/10 09:50:20.000,Assign seriousness,Value 10,complete,Value 2,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case864,Start,Start,2010/02/10 09:52:42.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case864,Assign seriousness,Value 2,2010/02/10 09:52:42.000,Assign seriousness,Value 97,complete,Value 2,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 1
Case4290,Start,Start,2010/02/10 09:58:35.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4290,Assign seriousness,Value 2,2010/02/10 09:58:35.000,Assign seriousness,Value 284,complete,Value 2,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3
Case2817,Start,Start,2010/02/10 10:15:34.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2817,Assign seriousness,Value 2,2010/02/10 10:15:34.000,Assign seriousness,Value 48,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case3168,Start,Start,2010/02/10 10:16:26.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3168,Assign seriousness,Value 2,2010/02/10 10:16:26.000,Assign seriousness,Value 48,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case151,Start,Start,2010/02/10 11:25:33.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case151,Assign seriousness,Value 2,2010/02/10 11:25:33.000,Assign seriousness,Value 88,complete,Value 2,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case151,Take in charge ticket,Value 2,2010/02/10 11:33:38.000,Take in charge ticket,Value 88,complete,Value 2,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case151,Resolve ticket,Value 2,2010/02/10 11:33:49.000,Resolve ticket,Value 88,complete,Value 2,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case1652,Start,Start,2010/02/10 13:15:48.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1652,Assign seriousness,Value 16,2010/02/10 13:15:48.000,Assign seriousness,Value 92,complete,Value 16,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 1
Case166,Start,Start,2010/02/11 09:48:50.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case166,Assign seriousness,Value 2,2010/02/11 09:48:50.000,Assign seriousness,Value 95,complete,Value 2,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3
Case404,Take in charge ticket,Value 2,2010/02/11 15:30:44.000,Take in charge ticket,Value 162,complete,Value 2,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case404,Resolve ticket,Value 2,2010/02/11 15:30:56.000,Resolve ticket,Value 162,complete,Value 2,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case3625,Resolve ticket,Value 2,2010/02/12 12:00:01.000,Resolve ticket,Value 53,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case765,Take in charge ticket,Value 2,2010/02/12 12:14:18.000,Take in charge ticket,Value 63,complete,Value 2,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3
Case2748,Closed,Value 5,2010/02/13 13:00:28.000,Closed,Value 52,complete,Value 5,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1
Case406,Closed,Value 5,2010/02/13 18:01:54.000,Closed,Value 143,complete,Value 5,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case2441,Assign seriousness,Value 2,2010/02/15 16:57:27.000,Assign seriousness,Value 186,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case2441,Take in charge ticket,Value 2,2010/02/15 16:57:33.000,Take in charge ticket,Value 186,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case2441,Resolve ticket,Value 2,2010/02/15 16:57:38.000,Resolve ticket,Value 186,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case2915,Take in charge ticket,Value 10,2010/02/15 17:17:46.000,Take in charge ticket,Value 48,complete,Value 10,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case2915,Resolve ticket,Value 10,2010/02/15 17:17:57.000,Resolve ticket,Value 48,complete,Value 10,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case3168,Take in charge ticket,Value 10,2010/02/15 17:19:28.000,Take in charge ticket,Value 48,complete,Value 10,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case2817,Take in charge ticket,Value 10,2010/02/15 17:20:05.000,Take in charge ticket,Value 48,complete,Value 10,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case2933,Start,Start,2010/02/15 17:21:35.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2933,Assign seriousness,Value 2,2010/02/15 17:21:35.000,Assign seriousness,Value 153,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case1196,Take in charge ticket,Value 10,2010/02/15 17:21:37.000,Take in charge ticket,Value 126,complete,Value 10,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case1196,Resolve ticket,Value 10,2010/02/15 17:22:30.000,Resolve ticket,Value 126,complete,Value 10,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case1621,Closed,Value 5,2010/02/16 09:30:55.000,Closed,Value 126,complete,Value 5,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1
Case4378,Take in charge ticket,Value 2,2010/02/16 11:20:28.000,Take in charge ticket,Value 9,complete,Value 2,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case4378,Wait,Value 2,2010/02/16 11:20:37.000,Wait,Value 9,complete,Value 2,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case2635,Start,Start,2010/02/16 11:57:56.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2635,Assign seriousness,Value 2,2010/02/16 11:57:56.000,Assign seriousness,Value 165,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 1
Case2635,Take in charge ticket,Value 2,2010/02/16 11:58:09.000,Take in charge ticket,Value 165,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 1
Case2635,Resolve ticket,Value 2,2010/02/16 11:58:17.000,Resolve ticket,Value 165,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 1
Case430,Start,Start,2010/02/16 12:00:09.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case430,Assign seriousness,Value 2,2010/02/16 12:00:09.000,Assign seriousness,Value 165,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 1
Case430,Take in charge ticket,Value 2,2010/02/16 12:00:17.000,Take in charge ticket,Value 165,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 1
Case430,Resolve ticket,Value 2,2010/02/16 12:00:27.000,Resolve ticket,Value 165,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 1
Case4378,Take in charge ticket,Value 2,2010/02/17 09:45:28.000,Take in charge ticket,Value 9,complete,Value 2,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case2118,Resolve ticket,Value 21,2010/02/17 10:44:53.000,Resolve ticket,Value 235,complete,Value 21,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3
