Incident ID,DateStamp,IncidentActivity_Number,IncidentActivity_Type,Assignment Group,KM number,Interaction ID
IM0000048,06-02-2013 13:10:52,001A3926349,Status Change,TEAM9999,KM0000524,#N/B
IM0000048,06-02-2013 13:10:52,001A3926348,Assignment,TEAM9999,KM0000524,#N/B
IM0000048,06-02-2013 13:10:52,001A3926351,External Vendor Assignment,TEAM9999,KM0000524,#N/B
IM0000048,06-02-2013 13:10:52,001A3926350,Operator Update,TEAM9999,KM0000524,#N/B
IM0000048,06-02-2013 13:10:52,001A3926352,Vendor Reference,TEAM9999,KM0000524,#N/B
IM0000038,06-02-2013 14:36:34,001A3926999,Update,TEAM0003,KM0000579,SD0000063
IM0000048,06-02-2013 15:15:03,001A3926671,Operator Update,TEAM9999,KM0000524,#N/B
IM0000048,06-02-2013 15:22:49,001A3926691,Operator Update,TEAM9999,KM0000524,#N/B
IM0000048,06-02-2013 15:23:11,001A3926697,Caused By CI,TEAM9999,KM0000524,#N/B
IM0000048,06-02-2013 15:23:11,001A3926696,Closed,TEAM9999,KM0000524,#N/B
IM0000038,07-02-2013 13:19:05,001A3934645,Update,TEAM0003,KM0000579,SD0000063
IM0000045,07-02-2013 15:20:49,001A3938077,Reassignment,TEAM0005,KM0000928,SD0000072
IM0000045,07-02-2013 15:20:50,001A3938079,Update,TEAM0005,KM0000928,SD0000072
IM0000045,07-02-2013 15:20:50,001A3938078,Assignment,TEAM0005,KM0000928,SD0000072
IM0000042,07-02-2013 17:00:06,001A3936902,Communication with customer,TEAM0003,KM0000611,SD0000068
IM0000049,08-02-2013 09:47:30,001A3941340,Open,TEAM0017,KM0000592,SD0000076
IM0000049,08-02-2013 09:47:59,001A3941343,Reassignment,TEAM0017,KM0000592,SD0000076
IM0000049,08-02-2013 09:49:41,001A3941354,Assignment,TEAM0015,KM0000592,SD0000076
IM0000049,08-02-2013 09:52:43,001A3941365,Description Update,TEAM0017,KM0000592,SD0000076
IM0000038,08-02-2013 10:10:55,001A3942965,Operator Update,TEAM0003,KM0000579,SD0000063
IM0000049,08-02-2013 12:58:54,001A3943436,Status Change,TEAM0015,KM0000592,SD0000076
IM0000031,11-02-2013 15:08:15,001A3957655,Update,TEAM0003,KM0000928,SD0000055
IM0000042,11-02-2013 15:42:43,001A3958698,Communication with customer,TEAM0003,KM0000611,SD0000068
IM0000047,13-02-2013 11:14:33,001A3972819,Update from customer,TEAM0002,KM0000401,SD0000074
IM0000012,13-02-2013 11:57:55,001A3970715,Update from customer,TEAM0002,KM0000611,SD0000029
IM0000013,13-02-2013 12:03:35,001A3970723,Update from customer,TEAM0002,KM0000611,SD0000031
IM0000014,13-02-2013 12:21:01,001A3970774,Update from customer,TEAM0002,KM0000401,SD0000033
IM0000015,13-02-2013 12:31:12,001A3970798,Update from customer,TEAM0002,KM0000611,SD0000034
IM0000017,13-02-2013 12:38:26,001A3970821,Update from customer,TEAM0002,KM0000611,SD0000036
IM0000024,13-02-2013 14:07:33,001A3972389,Operator Update,TEAM0003,KM0000401,SD0000046
IM0000015,14-02-2013 11:07:09,001A3981415,Update from customer,TEAM0002,KM0000611,SD0000034
IM0000015,14-02-2013 11:07:09,001A3981414,Assignment,TEAM0002,KM0000611,SD0000034
IM0000015,14-02-2013 11:07:09,001A3981413,Reassignment,TEAM0002,KM0000611,SD0000034
IM0000015,14-02-2013 12:05:15,001A3981058,Assignment,TEAM0003,KM0000611,SD0000034
IM0000042,14-02-2013 14:58:05,001A3986148,Assignment,TEAM0003,KM0000611,SD0000068
IM0000042,14-02-2013 14:58:05,001A3986149,Communication with customer,TEAM0003,KM0000611,SD0000068
IM0000042,14-02-2013 14:58:05,001A3986147,Reassignment,TEAM0003,KM0000611,SD0000068
IM0000045,14-02-2013 15:04:39,001A3983343,Assignment,TEAM0005,KM0000928,SD0000072
IM0000045,14-02-2013 15:04:39,001A3983342,Reassignment,TEAM0005,KM0000928,SD0000072
IM0000042,14-02-2013 15:23:24,001A3984092,Update from customer,TEAM0002,KM0000611,SD0000068
IM0000038,14-02-2013 15:29:59,001A3986228,Communication with customer,TEAM0003,KM0000579,SD0000063
IM0000053,18-02-2013 10:59:55,001A4017368,Open,TEAM0018,KM0001104,#N/B
IM0000053,18-02-2013 11:02:06,001A4017376,Update,TEAM0018,KM0001104,#N/B
IM0000053,18-02-2013 11:02:06,001A4017375,Status Change,TEAM0018,KM0001104,#N/B
IM0000049,18-02-2013 12:02:42,001A4016110,Update,TEAM0015,KM0000592,SD0000076
IM0000042,18-02-2013 14:53:55,001A4018050,Reassignment,TEAM9999,KM0000611,SD0000068
IM0000042,18-02-2013 14:53:55,001A4018051,Assignment,TEAM9999,KM0000611,SD0000068
IM0000042,18-02-2013 14:53:56,001A4018052,Update from customer,TEAM9999,KM0000611,SD0000068
IM0000042,19-02-2013 06:17:53,001A4021573,Operator Update,TEAM0003,KM0000611,SD0000068
IM0000042,19-02-2013 06:17:53,001A4021572,Assignment,TEAM0003,KM0000611,SD0000068
IM0000042,19-02-2013 07:20:24,001A4022428,Assignment,TEAM0003,KM0000611,SD0000068
IM0000042,19-02-2013 07:20:24,001A4022429,Update,TEAM0003,KM0000611,SD0000068
IM0000042,19-02-2013 07:20:24,001A4022427,Reassignment,TEAM0003,KM0000611,SD0000068
IM0000042,19-02-2013 09:03:07,001A4024608,Update from customer,TEAM0002,KM0000611,SD0000068
IM0000042,19-02-2013 09:03:07,001A4024606,Reassignment,TEAM0002,KM0000611,SD0000068
IM0000042,19-02-2013 09:03:07,001A4024607,Assignment,TEAM0002,KM0000611,SD0000068
IM0000042,19-02-2013 09:47:27,001A4022846,Assignment,TEAM0003,KM0000611,SD0000068
IM0000042,19-02-2013 09:47:27,001A4022845,Reassignment,TEAM0003,KM0000611,SD0000068
IM0000042,19-02-2013 09:53:03,001A4022866,Update from customer,TEAM0002,KM0000611,SD0000068
IM0000055,19-02-2013 10:52:19,001A4026203,Open,TEAM9999,KM0000611,SD0000081
IM0000055,19-02-2013 10:54:29,001A4026208,Update from customer,TEAM9999,KM0000611,SD0000081
IM0000055,19-02-2013 10:56:00,001A4026214,Description Update,TEAM0003,KM0000611,SD0000081
IM0000055,19-02-2013 11:02:36,001A4024136,Assignment,TEAM0003,KM0000611,SD0000081
IM0000055,19-02-2013 11:02:49,001A4024141,Status Change,TEAM0003,KM0000611,SD0000081
IM0000055,19-02-2013 14:23:07,001A4028832,Operator Update,TEAM0003,KM0000611,SD0000081
IM0000055,19-02-2013 14:23:07,001A4028830,Reassignment,TEAM0003,KM0000611,SD0000081
IM0000055,19-02-2013 14:23:07,001A4028831,Assignment,TEAM0003,KM0000611,SD0000081
IM0000055,19-02-2013 14:30:35,001A4029326,Assignment,TEAM0012,KM0000611,SD0000081
IM0000055,19-02-2013 14:45:54,001A4029371,Assignment,TEAM0005,KM0000611,SD0000081
IM0000056,20-02-2013 09:14:39,001A4030749,Open,TEAM0002,KM0000611,SD0000082
IM0000056,20-02-2013 09:16:28,001A4030755,Update from customer,TEAM0002,KM0000611,SD0000082
IM0000056,20-02-2013 09:40:10,001A4030841,Update,TEAM0003,KM0000611,SD0000082
IM0000056,20-02-2013 09:40:10,001A4030840,Reassignment,TEAM0003,KM0000611,SD0000082
IM0000053,21-02-2013 07:12:50,001A4039172,Caused By CI,TEAM0018,KM0001104,#N/B
IM0000053,21-02-2013 07:12:50,001A4039171,Closed,TEAM0018,KM0001104,#N/B
IM0000056,21-02-2013 14:27:25,001A4045613,Update from customer,TEAM0002,KM0000611,SD0000082
IM0000056,21-02-2013 14:27:25,001A4045612,Status Change,TEAM0002,KM0000611,SD0000082
IM0000056,21-02-2013 14:27:25,001A4045611,Assignment,TEAM0002,KM0000611,SD0000082
IM0000031,22-02-2013 10:10:25,001A4049032,Reassignment,TEAM0005,KM0000928,SD0000055
IM0000031,22-02-2013 10:10:25,001A4049033,OO Response,TEAM0005,KM0000928,SD0000055
IM0000031,22-02-2013 13:02:00,001A4050789,Assignment,TEAM0003,KM0000928,SD0000055
IM0000031,25-02-2013 12:01:35,001A4064039,Assignment,TEAM0003,KM0000928,SD0000055
IM0000031,25-02-2013 12:01:35,001A4064040,Update,TEAM0003,KM0000928,SD0000055
IM0000031,25-02-2013 12:01:35,001A4064038,Reassignment,TEAM0003,KM0000928,SD0000055
IM0000031,25-02-2013 12:01:35,001A4064041,Description Update,TEAM0003,KM0000928,SD0000055
IM0000057,25-02-2013 15:03:55,001A4065245,Open,TEAM0008,KM0000791,SD0000084
IM0000035,26-02-2013 07:06:58,001A4069788,Operator Update,TEAM0003,KM0000611,SD0000058
IM0000035,26-02-2013 08:26:07,001A4070726,Update from customer,TEAM0002,KM0000611,SD0000058
IM0000057,26-02-2013 10:44:30,001A4074246,Status Change,TEAM0008,KM0000791,SD0000084
IM0000057,26-02-2013 10:44:30,001A4074245,Assignment,TEAM0008,KM0000791,SD0000084
IM0000057,26-02-2013 11:20:33,001A4074336,Status Change,TEAM0008,KM0000791,SD0000084
IM0000057,26-02-2013 11:20:33,001A4074337,Communication with customer,TEAM0008,KM0000791,SD0000084
IM0000058,26-02-2013 15:44:42,001A4076304,Open,TEAM0002,KM0000611,SD0000085
IM0000058,26-02-2013 15:46:55,001A4076311,Update from customer,TEAM0002,KM0000611,SD0000085
IM0000058,26-02-2013 15:55:26,001A4077990,Assignment,TEAM0003,KM0000611,SD0000085
IM0000042,27-02-2013 11:14:13,001A4086206,Assignment,TEAM0002,KM0000611,SD0000068
IM0000042,27-02-2013 11:14:13,001A4086207,Update from customer,TEAM0002,KM0000611,SD0000068
IM0000042,27-02-2013 11:14:13,001A4086205,Reassignment,TEAM0002,KM0000611,SD0000068
IM0000058,27-02-2013 11:21:28,001A4086221,Assignment,TEAM0003,KM0000611,SD0000085
IM0000058,27-02-2013 11:21:28,001A4086220,Reassignment,TEAM0003,KM0000611,SD0000085
IM0000058,27-02-2013 11:21:29,001A4086222,Status Change,TEAM0003,KM0000611,SD0000085
IM0000058,27-02-2013 11:21:29,001A4086223,Operator Update,TEAM0003,KM0000611,SD0000085
IM0000042,27-02-2013 11:51:30,001A4086275,Assignment,TEAM0003,KM0000611,SD0000068
IM0000042,27-02-2013 12:33:45,001A4086346,Assignment,TEAM0003,KM0000611,SD0000068
IM0000042,27-02-2013 12:33:45,001A4086347,Communication with customer,TEAM0003,KM0000611,SD0000068
IM0000019,27-02-2013 13:12:29,001A4086492,Update from customer,TEAM0002,KM0000611,SD0000040
IM0000019,27-02-2013 13:12:29,001A4086491,Assignment,TEAM0002,KM0000611,SD0000040
IM0000019,27-02-2013 13:12:29,001A4086490,Reassignment,TEAM0002,KM0000611,SD0000040
IM0000018,27-02-2013 13:16:20,001A4086504,Update from customer,TEAM0002,KM0000401,SD0000037
IM0000019,27-02-2013 13:24:54,001A4086534,Assignment,TEAM0003,KM0000611,SD0000040
IM0000021,27-02-2013 13:26:40,001A4086539,Update from customer,TEAM0002,KM0000401,#N/B
IM0000019,27-02-2013 13:33:46,001A4087800,Operator Update,TEAM0003,KM0000611,SD0000040
IM0000019,27-02-2013 13:33:46,001A4087799,Assignment,TEAM0003,KM0000611,SD0000040
IM0000019,27-02-2013 13:33:46,001A4087798,Reassignment,TEAM0003,KM0000611,SD0000040
IM0000021,27-02-2013 14:00:13,001A4086688,Update from customer,TEAM0002,KM0000401,#N/B
IM0000021,27-02-2013 14:00:13,001A4086686,Reassignment,TEAM0002,KM0000401,#N/B
IM0000021,27-02-2013 14:00:13,001A4086687,Assignment,TEAM0002,KM0000401,#N/B
IM0000021,27-02-2013 14:07:07,001A4086715,Caused By CI,TEAM0003,KM0000401,#N/B
IM0000021,27-02-2013 14:07:07,001A4086714,Closed,TEAM0003,KM0000401,#N/B
IM0000042,28-02-2013 08:58:25,001A4094155,Operator Update,TEAM0003,KM0000611,SD0000068
IM0000042,28-02-2013 08:58:25,001A4094154,Assignment,TEAM0003,KM0000611,SD0000068
IM0000058,28-02-2013 10:45:20,001A4093235,Update from customer,TEAM0002,KM0000611,SD0000085
IM0000059,28-02-2013 11:23:12,001A4096827,Open,TEAM0002,KM0000611,#N/B
IM0000059,28-02-2013 11:32:18,001A4096871,Description Update,TEAM0002,KM0000611,#N/B
IM0000059,28-02-2013 11:32:18,001A4096870,Update from customer,TEAM0002,KM0000611,#N/B
IM0000059,28-02-2013 12:19:01,001A4097036,Update from customer,TEAM0002,KM0000611,#N/B
IM0000059,28-02-2013 12:23:22,001A4094814,Status Change,TEAM0003,KM0000611,#N/B
IM0000059,28-02-2013 12:23:22,001A4094813,Assignment,TEAM0003,KM0000611,#N/B
IM0000059,28-02-2013 12:43:03,001A4095554,Assignment,TEAM0003,KM0000611,#N/B
IM0000059,28-02-2013 12:43:03,001A4095553,Reassignment,TEAM0003,KM0000611,#N/B
IM0000059,28-02-2013 12:43:03,001A4095555,Update,TEAM0003,KM0000611,#N/B
IM0000059,28-02-2013 13:00:50,001A4097199,Assignment,TEAM0004,KM0000611,#N/B
IM0000059,28-02-2013 13:00:50,001A4097198,Reassignment,TEAM0004,KM0000611,#N/B
IM0000059,28-02-2013 13:00:50,001A4097200,Operator Update,TEAM0004,KM0000611,#N/B
IM0000019,28-02-2013 14:27:04,001A4097836,Update from customer,TEAM0002,KM0000611,SD0000040
IM0000019,28-02-2013 14:27:04,001A4097835,Assignment,TEAM0002,KM0000611,SD0000040
IM0000060,28-02-2013 15:50:00,001A4101321,Open,TEAM0022,KM0001633,SD0000086
IM0000060,28-02-2013 20:51:39,001A4099585,Operator Update,TEAM0007,KM0001633,SD0000086
IM0000060,28-02-2013 20:51:39,001A4099584,Assignment,TEAM0007,KM0001633,SD0000086
IM0000061,01-03-2013 09:19:14,001A4103228,Open,TEAM9999,KM0000603,#N/B
IM0000061,01-03-2013 09:21:59,001A4103241,Update from customer,TEAM9999,KM0000603,#N/B
IM0000059,01-03-2013 09:44:08,001A4104132,Update from customer,TEAM0002,KM0000611,#N/B
IM0000061,01-03-2013 10:48:45,001A4103548,Assignment,TEAM0023,KM0000603,#N/B
IM0000057,01-03-2013 12:24:14,001A4105520,Update from customer,TEAM0021,KM0000791,SD0000084
IM0000022,01-03-2013 12:49:21,001A4107161,Assignment,TEAM0005,KM0000611,SD0000043
IM0000022,01-03-2013 12:49:21,001A4107162,OO Response,TEAM0005,KM0000611,SD0000043
IM0000022,01-03-2013 12:49:21,001A4107160,Reassignment,TEAM0005,KM0000611,SD0000043
IM0000035,01-03-2013 12:50:30,001A4107169,OO Response,TEAM0005,KM0000611,SD0000058
IM0000035,01-03-2013 12:50:30,001A4107168,Assignment,TEAM0005,KM0000611,SD0000058
IM0000035,01-03-2013 12:50:30,001A4107167,Reassignment,TEAM0005,KM0000611,SD0000058
IM0000022,01-03-2013 12:53:38,001A4108700,Assignment,TEAM0003,KM0000611,SD0000043
IM0000057,01-03-2013 12:55:03,001A4107900,Operator Update,TEAM0020,KM0000791,SD0000084
IM0000057,01-03-2013 12:55:03,001A4107899,Status Change,TEAM0020,KM0000791,SD0000084
IM0000057,01-03-2013 12:55:03,001A4107898,Assignment,TEAM0020,KM0000791,SD0000084
IM0000035,01-03-2013 12:56:15,001A4108708,Assignment,TEAM0003,KM0000611,SD0000058
IM0000034,01-03-2013 13:00:06,001A4108733,Reassignment,TEAM0002,KM0000401,#N/B
IM0000034,01-03-2013 13:00:06,001A4108734,Assignment,TEAM0002,KM0000401,#N/B
IM0000034,01-03-2013 13:00:06,001A4108735,Update from customer,TEAM0002,KM0000401,#N/B
IM0000034,01-03-2013 13:01:47,001A4108738,Closed,TEAM0003,KM0000401,#N/B
IM0000034,01-03-2013 13:01:47,001A4108739,Caused By CI,TEAM0003,KM0000401,#N/B
IM0000028,01-03-2013 13:02:40,001A4107204,Update from customer,TEAM0007,KM0000852,SD0000053
IM0000028,01-03-2013 13:02:40,001A4107203,Status Change,TEAM0007,KM0000852,SD0000053
IM0000028,01-03-2013 13:02:40,001A4107205,External Vendor Assignment,TEAM0007,KM0000852,SD0000053
IM0000057,01-03-2013 13:52:05,001A4107397,Assignment,TEAM0008,KM0000791,SD0000084
IM0000041,01-03-2013 14:10:53,001A4109041,Update from customer,TEAM0002,KM0000611,SD0000065
IM0000057,01-03-2013 14:25:45,001A4107494,Reassignment,TEAM0008,KM0000791,SD0000084
IM0000057,01-03-2013 14:25:45,001A4107496,Operator Update,TEAM0008,KM0000791,SD0000084
IM0000057,01-03-2013 14:25:45,001A4107495,Assignment,TEAM0008,KM0000791,SD0000084
IM0000057,01-03-2013 15:16:00,001A4108335,Assignment,TEAM0007,KM0000791,SD0000084
IM0000059,01-03-2013 15:19:16,001A4109299,Update from customer,TEAM0002,KM0000611,#N/B
IM0000060,01-03-2013 18:13:54,001A4112531,Assignment,TEAM0007,KM0001633,SD0000086
IM0000060,01-03-2013 18:13:54,001A4112532,Operator Update,TEAM0007,KM0001633,SD0000086
IM0000035,04-03-2013 10:48:55,001A4116404,Operator Update,TEAM0003,KM0000611,SD0000058
IM0000035,04-03-2013 10:48:55,001A4116402,Reassignment,TEAM0003,KM0000611,SD0000058
IM0000035,04-03-2013 10:48:55,001A4116403,Assignment,TEAM0003,KM0000611,SD0000058
IM0000022,04-03-2013 10:50:50,001A4116411,Reassignment,TEAM0003,KM0000611,SD0000043
IM0000022,04-03-2013 10:50:50,001A4116413,Operator Update,TEAM0003,KM0000611,SD0000043
IM0000022,04-03-2013 10:50:50,001A4116412,Assignment,TEAM0003,KM0000611,SD0000043
IM0000055,04-03-2013 10:59:36,001A4118928,Update from customer,TEAM0002,KM0000611,SD0000081
IM0000062,04-03-2013 11:31:15,001A4121345,Open,TEAM0002,KM0000553,SD0000087
IM0000062,04-03-2013 11:33:15,001A4121348,Update from customer,TEAM0002,KM0000553,SD0000087
IM0000062,04-03-2013 11:37:04,001A4121369,Operator Update,TEAM0003,KM0000553,SD0000087
IM0000062,04-03-2013 11:37:04,001A4121368,Assignment,TEAM0003,KM0000553,SD0000087
IM0000060,04-03-2013 12:56:51,001A4120853,Operator Update,TEAM0007,KM0001633,SD0000086
IM0000060,04-03-2013 12:56:51,001A4120852,Assignment,TEAM0007,KM0001633,SD0000086
IM0000042,04-03-2013 13:00:43,001A4120864,Assignment,TEAM0003,KM0000611,SD0000068
IM0000042,04-03-2013 13:00:43,001A4120865,Operator Update,TEAM0003,KM0000611,SD0000068
IM0000042,04-03-2013 13:00:43,001A4120863,Reassignment,TEAM0003,KM0000611,SD0000068
IM0000062,04-03-2013 14:01:25,001A4120397,Status Change,TEAM0003,KM0000553,SD0000087
IM0000062,04-03-2013 14:01:25,001A4120398,Operator Update,TEAM0003,KM0000553,SD0000087
IM0000061,04-03-2013 14:14:24,001A4121873,Closed,TEAM0023,KM0000603,#N/B
IM0000061,04-03-2013 14:14:24,001A4121874,Caused By CI,TEAM0023,KM0000603,#N/B
IM0000057,04-03-2013 14:24:18,001A4121100,Assignment,TEAM0007,KM0000791,SD0000084
IM0000057,04-03-2013 14:24:19,001A4121101,Operator Update,TEAM0007,KM0000791,SD0000084
IM0000060,04-03-2013 14:33:36,001A4121936,Status Change,TEAM0007,KM0001633,SD0000086
IM0000042,05-03-2013 07:31:24,001A4124939,Reassignment,TEAM0010,KM0000611,SD0000068
IM0000042,05-03-2013 07:31:24,001A4124940,Operator Update,TEAM0010,KM0000611,SD0000068
IM0000022,05-03-2013 08:35:03,001A4125761,Update from customer,TEAM0002,KM0000611,SD0000043
IM0000022,05-03-2013 08:36:09,001A4125765,Assignment,TEAM0002,KM0000611,SD0000043
IM0000022,05-03-2013 08:36:09,001A4125766,Update from customer,TEAM0002,KM0000611,SD0000043
IM0000022,05-03-2013 08:36:09,001A4125764,Reassignment,TEAM0002,KM0000611,SD0000043
IM0000062,05-03-2013 08:45:24,001A4124342,Operator Update,TEAM0003,KM0000553,SD0000087
IM0000060,05-03-2013 09:11:35,001A4124392,Operator Update,TEAM0007,KM0001633,SD0000086
IM0000042,05-03-2013 11:29:46,001A4130208,Reassignment,TEAM9999,KM0000611,SD0000068
IM0000042,05-03-2013 11:29:46,001A4130210,Operator Update,TEAM9999,KM0000611,SD0000068
IM0000042,05-03-2013 11:29:46,001A4130209,Status Change,TEAM9999,KM0000611,SD0000068
IM0000042,05-03-2013 11:55:34,001A4128133,Assignment,TEAM0010,KM0000611,SD0000068
IM0000042,05-03-2013 12:03:32,001A4128160,Operator Update,TEAM0010,KM0000611,SD0000068
IM0000042,05-03-2013 12:03:32,001A4128159,Assignment,TEAM0010,KM0000611,SD0000068
IM0000042,05-03-2013 12:03:32,001A4128158,Reassignment,TEAM0010,KM0000611,SD0000068
IM0000064,05-03-2013 12:58:03,001A4128984,Open,TEAM0002,KM0000611,SD0000090
IM0000022,05-03-2013 14:13:38,001A4131046,Assignment,TEAM0003,KM0000611,SD0000043
IM0000064,05-03-2013 14:18:22,001A4131082,Assignment,TEAM0003,KM0000611,SD0000090
IM0000022,05-03-2013 14:48:17,001A4131195,Operator Update,TEAM0003,KM0000611,SD0000043
IM0000064,05-03-2013 15:07:47,001A4131311,Operator Update,TEAM0003,KM0000611,SD0000090
IM0000064,05-03-2013 15:07:47,001A4131310,Status Change,TEAM0003,KM0000611,SD0000090
